dataset_id,patient_id,n_splits_completed,median_test_control_fpr,n_splits_fpr_le_0_05,fpr_seed_20260725,fpr_seed_20260726,fpr_seed_20260727,fpr_calibration_pass,infercnv_threshold_status
"GSE154600","T59",3,0.00821018062397373,3,0.00985221674876847,0.00821018062397373,0.00492610837438424,TRUE,"INFERCNV_THRESHOLD_CALIBRATED"
"GSE154600","T76",3,0.0062015503875969,3,0.0062015503875969,0.0124031007751938,0.0062015503875969,TRUE,"INFERCNV_THRESHOLD_CALIBRATED"
"GSE154600","T77",3,0.0116279069767442,3,0.0116279069767442,0.00581395348837209,0.0145348837209302,TRUE,"INFERCNV_THRESHOLD_CALIBRATED"
"GSE154600","T89",3,0.00764818355640535,3,0.00573613766730402,0.0152963671128107,0.00764818355640535,TRUE,"INFERCNV_THRESHOLD_CALIBRATED"
"GSE154600","T90",3,0.00503778337531486,3,0.00503778337531486,0.00503778337531486,0.0100755667506297,TRUE,"INFERCNV_THRESHOLD_CALIBRATED"
