dataset_id,metric,n_cells,available,n_features_used,feature_source,before_min,before_q25,before_median,before_mean,before_q75,before_max,after_min,after_q25,after_median,after_mean,after_q75,after_max
"GSE158722","percent.mt",98832,TRUE,13,"original_raw_gene_symbol_per_patient",0,0,0,0,0,0,0,4.35420082231054,12.3066577000672,18.6334200796993,27.1639727726348,98.5126124865949
"GSE158722","percent.ribo",98832,TRUE,105,"explicit_features_recomputed",0.431965442764579,7.69701274663465,13.4502431143875,14.5784930956956,19.5209476979534,78.2085288716588,0.126540492957746,4.61059085636501,10.0247970529118,11.0739345321245,15.6487213184793,77.3718207509084
"GSE158722","percent.HB",98832,TRUE,10,"explicit_features_recomputed",0,0,0,0.0131230834512943,0,85.0379894798364,0,0,0,0.0103994756917998,0,78.9473684210526
