"cluster","gene","avg_log2FC","pct.1","pct.2","p_val","p_val_adj"
"Subclone_01","VIM",1.55847278768281,0.522603978300181,0.342740671056758,1.53220878849766e-139,4.30550669567841e-137
"Subclone_01","TMSB4X",0.260267636262612,0.836347197106691,0.957666980244591,2.26442626639658e-118,3.1815189042872e-116
"Subclone_01","GMFG",1.7598390828135,0.210970464135021,0.0464095327688931,9.87514000982911e-94,9.24971447587327e-92
"Subclone_01","COTL1",1.76509267683105,0.244424352019289,0.0724365004703669,1.13415682008107e-89,7.96745166106952e-88
"Subclone_01","ETS1",1.59465501863278,0.172694394213382,0.0291627469426152,3.35946858940934e-85,1.88802134724805e-83
"Subclone_01","VAMP5",1.61010407907884,0.22875226039783,0.0696142991533396,7.10174823820705e-81,3.32598542489364e-79
"Subclone_01","IL32",1.85011046386466,0.267631103074141,0.103167137033553,6.78549205498507e-79,2.72389038207258e-77
"Subclone_01","LGALS1",1.48731542379648,0.41711874623267,0.279711508309815,4.40179891096179e-76,1.54613186747533e-74
"Subclone_01","COL4A1",1.85310426510219,0.147679324894515,0.0232047663844465,9.10090625539579e-74,2.8415051752958e-72
"Subclone_01","SRGN",1.57012058815654,0.263713080168776,0.106930072122923,3.74085760922402e-72,1.05118098819195e-70
"Subclone_01","ESAM",1.5281491102305,0.105485232067511,0.00501724678582628,9.27913595236763e-70,2.370397456923e-68
"Subclone_01","VWF",1.98432242060557,0.105786618444846,0.0059579805581687,2.45496962914621e-68,5.74872054825071e-67
"Subclone_01","EGFL7",1.48778917837927,0.11121157323689,0.0100344935716526,1.65992746602661e-65,3.5879970611806e-64
"Subclone_01","TESC",1.17378073130475,0.108499095840868,0.00972091564753841,1.13819240673197e-63,2.2845147592263e-62
"Subclone_01","CD34",1.5361894571768,0.106088004822182,0.00940733772342427,1.32070389366826e-62,2.47411862747188e-61
"Subclone_01","CD3E",1.70707820357262,0.123869801084991,0.0194418312950768,2.40525213560898e-61,4.22422406316327e-60
"Subclone_01","HCLS1",1.39181015639808,0.148583484026522,0.0338664158043274,5.795140447596e-61,9.57902626926162e-60
"Subclone_01","LDB2",1.17924798900333,0.104279686558168,0.010975227343995,1.29480976367535e-58,2.02134190884874e-57
"Subclone_01","RAMP2",1.59721162230816,0.134719710669078,0.0275948573220445,1.9137834309574e-58,2.83038496894226e-57
"Subclone_01","CLEC2B",1.27704404187527,0.184448462929476,0.0589526497334588,2.27818989046157e-58,3.20085679609851e-57
"Subclone_01","PTPRCAP",1.66099563270158,0.133815551537071,0.0279084352461587,1.2115313248241e-57,1.62114429655034e-56
"Subclone_01","COL4A2",1.68182366784789,0.161543098251959,0.0470366886171214,6.9022768226794e-56,8.81608994169505e-55
"Subclone_01","GIMAP4",1.19021511460064,0.121458710066305,0.0232047663844465,4.73582591169688e-54,5.78594383124705e-53
"Subclone_01","GIMAP7",1.10063751835524,0.102772754671489,0.013170272812794,5.12255911375902e-54,5.99766296235952e-53
"Subclone_01","CD3D",1.46252093995026,0.107293550331525,0.0169332079021637,1.44757722345041e-52,1.62707679915826e-51
"Subclone_01","IL2RG",1.48578146151172,0.119349005424955,0.0235183443085607,1.79968521306741e-52,1.94504440335363e-51
"Subclone_01","HSPG2",1.59438636649464,0.158830620855937,0.0489181561618062,3.95544643689835e-52,4.11659425469792e-51
"Subclone_01","COL6A2",1.47513433940107,0.205244122965642,0.0834117278143619,5.98832256326977e-52,6.00970942956716e-51
"Subclone_01","PECAM1",1.36641900945149,0.113019891500904,0.0210097209156475,4.36155337079176e-51,4.22619481790512e-50
"Subclone_01","GNG2",1.19523288380225,0.124171187462327,0.0272812793979304,8.3586927910255e-51,7.82930891426055e-50
"Subclone_01","LAPTM5",1.30392351376594,0.187462326702833,0.0711821887739103,1.22423496003761e-49,1.10970975409861e-48
"Subclone_01","BST2",1.24964356583752,0.255575647980711,0.13170272812794,4.06813233683088e-49,3.57232870827962e-48
"Subclone_01","EMP3",1.39398669826944,0.265521398432791,0.143932267168391,9.33991811208933e-49,7.95308178635485e-48
"Subclone_01","OAF",1.04603868456247,0.108800482218204,0.0210097209156475,7.59000850398186e-48,6.27291879299677e-47
"Subclone_01","CCL5",1.65305055644681,0.1416515973478,0.0417058639071809,7.39154612634869e-47,5.93435560429709e-46
"Subclone_01","CD7",1.27339297571649,0.104279686558168,0.0194418312950768,1.47939269472432e-46,1.15474818671537e-45
"Subclone_01","WIPF1",1.10003248867183,0.124773960216998,0.0316713703355284,5.35393680707197e-46,4.06609795347898e-45
"Subclone_01","CAV1",1.42988432153924,0.186558167570826,0.0777673251803073,1.88499210459339e-45,1.39390205629143e-44
