"CNV_clone","mean","median","sd"
"Subclone_01",0.256403830178778,0.275515895147797,0.145372330272129
"Subclone_02",0.534968873835709,0.567949432980108,0.0429514771903921
"Subclone_03",0.481619582374887,0.509016545826362,0.0671974733363818
"Subclone_04",0.584046368206993,0.586354340955568,0.0411076278032717
"Subclone_05",0.501394311210262,0.48540620933259,0.0278375716718175
