"CNV_clone","feature","mean_score","median_score","sd_score"
"Subclone_01","EMT",0.409085782722127,0.25579597096819,0.444210587152682
"Subclone_02","EMT",0.291682316240058,0.246542712695735,0.230710370861853
"Subclone_03","EMT",0.191747340785591,0.15613423571292,0.182838252369332
"Subclone_04","EMT",0.266567743786848,0.209464312721827,0.22650170070107
"Subclone_05","EMT",0.304580575242363,0.251215667246759,0.277549331090315
"Subclone_01","Hypoxia",0.343702896260416,0.325503403913401,0.271525949246951
"Subclone_02","Hypoxia",0.467397133172412,0.44381136399226,0.213722216284878
"Subclone_03","Hypoxia",0.47293342399349,0.4659027453599,0.250009176354327
"Subclone_04","Hypoxia",0.4935703023044,0.454821811785887,0.258012665128176
"Subclone_05","Hypoxia",0.293681685043992,0.261694902911819,0.216703523870247
"Subclone_01","KRAS_UP",0.454147861830072,0.382229831072099,0.365686561395348
"Subclone_02","KRAS_UP",0.867023245230947,0.918337931186872,0.311592212519419
"Subclone_03","KRAS_UP",0.42467644123248,0.34539872689996,0.32442791703748
"Subclone_04","KRAS_UP",0.773308203739977,0.829386216989859,0.332681337547595
"Subclone_05","KRAS_UP",0.514286896948315,0.497131019388948,0.319557168299494
"Subclone_01","KRAS_DN",0.724704061480471,0.56477866705841,0.681141174669032
"Subclone_02","KRAS_DN",1.34879263698902,1.39846804386156,0.80416838756448
"Subclone_03","KRAS_DN",0.504663124700071,0.306209050089018,0.586942394457207
"Subclone_04","KRAS_DN",1.26745167020862,1.26450291265795,0.742487699178523
"Subclone_05","KRAS_DN",0.676294752603595,0.524204263926063,0.592813686647005
"Subclone_01","LAPTM5_axis",0.316177064815934,0,0.729886147755575
"Subclone_02","LAPTM5_axis",0.053400265138695,0,0.239943920361937
"Subclone_03","LAPTM5_axis",0.0433742805556392,0,0.244205794364582
"Subclone_04","LAPTM5_axis",0.106995582380647,0,0.334491906693388
"Subclone_05","LAPTM5_axis",0.10482091235035,0,0.437881947774979
"Subclone_01","Proliferation",0.161448540181148,0,0.284360375487274
"Subclone_02","Proliferation",0.110323587302389,0.0807940199871577,0.141742112182678
