"cluster","gene","avg_log2FC","pct.1","pct.2","p_val","p_val_adj"
"Subclone_01","VIM",1.55847278768281,0.522603978300181,0.342740671056758,1.53220878849766e-139,4.30550669567841e-137
"Subclone_01","TMSB4X",0.260267636262612,0.836347197106691,0.957666980244591,2.26442626639658e-118,3.1815189042872e-116
"Subclone_01","GMFG",1.7598390828135,0.210970464135021,0.0464095327688931,9.87514000982911e-94,9.24971447587327e-92
"Subclone_01","COTL1",1.76509267683105,0.244424352019289,0.0724365004703669,1.13415682008107e-89,7.96745166106952e-88
"Subclone_01","ETS1",1.59465501863278,0.172694394213382,0.0291627469426152,3.35946858940934e-85,1.88802134724805e-83
"Subclone_01","VAMP5",1.61010407907884,0.22875226039783,0.0696142991533396,7.10174823820705e-81,3.32598542489364e-79
"Subclone_01","IL32",1.85011046386466,0.267631103074141,0.103167137033553,6.78549205498507e-79,2.72389038207258e-77
"Subclone_01","LGALS1",1.48731542379648,0.41711874623267,0.279711508309815,4.40179891096179e-76,1.54613186747533e-74
"Subclone_01","COL4A1",1.85310426510219,0.147679324894515,0.0232047663844465,9.10090625539579e-74,2.8415051752958e-72
"Subclone_01","SRGN",1.57012058815654,0.263713080168776,0.106930072122923,3.74085760922402e-72,1.05118098819195e-70
"Subclone_01","ESAM",1.5281491102305,0.105485232067511,0.00501724678582628,9.27913595236763e-70,2.370397456923e-68
"Subclone_01","VWF",1.98432242060557,0.105786618444846,0.0059579805581687,2.45496962914621e-68,5.74872054825071e-67
"Subclone_01","EGFL7",1.48778917837927,0.11121157323689,0.0100344935716526,1.65992746602661e-65,3.5879970611806e-64
"Subclone_01","TESC",1.17378073130475,0.108499095840868,0.00972091564753841,1.13819240673197e-63,2.2845147592263e-62
"Subclone_01","CD34",1.5361894571768,0.106088004822182,0.00940733772342427,1.32070389366826e-62,2.47411862747188e-61
"Subclone_01","CD3E",1.70707820357262,0.123869801084991,0.0194418312950768,2.40525213560898e-61,4.22422406316327e-60
"Subclone_01","HCLS1",1.39181015639808,0.148583484026522,0.0338664158043274,5.795140447596e-61,9.57902626926162e-60
"Subclone_01","LDB2",1.17924798900333,0.104279686558168,0.010975227343995,1.29480976367535e-58,2.02134190884874e-57
"Subclone_01","RAMP2",1.59721162230816,0.134719710669078,0.0275948573220445,1.9137834309574e-58,2.83038496894226e-57
"Subclone_01","CLEC2B",1.27704404187527,0.184448462929476,0.0589526497334588,2.27818989046157e-58,3.20085679609851e-57
"Subclone_02","MSLN",1.49338266184463,0.982259570494865,0.42439293598234,0,0
"Subclone_02","BCAM",1.38700687913382,0.969187675070028,0.414643119941133,1.62739931780078e-307,1.62739931780078e-304
"Subclone_02","CLDN4",1.48811632202465,0.918767507002801,0.340691685062546,4.950250459643e-290,3.30016697309533e-287
"Subclone_02","CD9",1.26112840179083,0.949579831932773,0.432119205298013,4.36565500197262e-274,2.18282750098631e-271
"Subclone_02","SOX9",1.5610483313933,0.73015873015873,0.20345842531273,1.14768332453402e-267,4.59073329813609e-265
"Subclone_02","FOLR1",1.38842856803233,0.881419234360411,0.333149374540103,4.82751927459324e-253,1.60917309153108e-250
"Subclone_02","RARRES1",1.5237699564018,0.812324929971989,0.278145695364238,1.5199628529412e-249,4.34275100840343e-247
"Subclone_02","COL9A3",1.63929807971063,0.584500466853408,0.130978660779985,2.01608996551334e-246,5.04022491378335e-244
"Subclone_02","KLK6",1.51470080226578,0.706816059757236,0.200147167034584,1.96374338629668e-243,4.3638741917704e-241
"Subclone_02","ELF3",1.36677373213939,0.887955182072829,0.364238410596026,1.2808476065028e-241,2.5616952130056e-239
"Subclone_02","LCN2",1.57147215558589,0.667600373482726,0.176784400294334,2.06203207446321e-240,3.74914922629675e-238
"Subclone_02","LSR",1.33546539086735,0.829131652661064,0.300772626931567,5.28826475856453e-239,8.81377459760755e-237
"Subclone_02","SLPI",1.19401562386579,0.964519140989729,0.462288447387785,5.41219773990305e-232,8.3264580613893e-230
"Subclone_02","LTC4S",1.28719337214038,0.873015873015873,0.341795437821928,8.06344430870025e-230,1.15192061552861e-227
"Subclone_02","CLDN3",1.22803880850715,0.916900093370682,0.396799116997792,2.38458476506986e-223,3.17944635342648e-221
"Subclone_02","TUSC3",1.23071714809741,0.844070961718021,0.338668138337013,3.79855901064123e-219,4.74819876330154e-217
"Subclone_02","DSP",1.34901570453209,0.762838468720822,0.268763796909492,4.68673376382828e-218,5.51380442803327e-216
"Subclone_02","TSPAN6",1.39463493278546,0.704014939309057,0.236019131714496,3.32709659470311e-217,3.69677399411457e-215
"Subclone_02","ATP1B1",1.43078151834465,0.6171802054155,0.169793966151582,2.19983497978184e-212,2.31561576819141e-210
