dataset_id,patient_id,n_final_epithelial,n_available_for_copykat,n_submitted_any_run,n_defined_in_at_least_1_run,n_defined_in_at_least_2_runs,n_stable_aneuploid,n_stable_diploid,n_unstable,n_mostly_not_defined,n_not_submitted,target_input_coverage,any_defined_call_rate,stable_defined_call_rate,stable_aneuploid_fraction_all_final,stable_aneuploid_fraction_defined
"GSE154600","T59",1513,1422,1422,860,859,843,1,15,563,91,0.939854593522803,0.604781997187061,0.60407876230661,0.557171183079974,0.981373690337602
"GSE154600","T76",125,37,37,21,21,17,1,3,16,88,0.296,0.567567567567568,0.567567567567568,0.136,0.80952380952381
"GSE154600","T77",1175,1023,1023,563,560,535,3,22,463,152,0.87063829787234,0.550342130987292,0.547409579667644,0.45531914893617,0.955357142857143
"GSE154600","T89",181,173,173,49,47,45,0,2,126,8,0.955801104972376,0.283236994219653,0.271676300578035,0.248618784530387,0.957446808510638
"GSE154600","T90",975,803,803,263,257,256,1,0,546,172,0.823589743589744,0.327521793275218,0.320049813200498,0.262564102564103,0.996108949416342
