label_type,cnv_subclone,neighbor_label,clone_n_cells,neighbor_n,observed_prop,expected_prop_perm_mean,enrichment_ratio,z_score,empirical_p_greater,empirical_p_less,global_prop
interaction_group,Subclone_01,T_NK_CD4+ T naive,3318,3015,0.0302893309222423,0.0242707319557666,1.2479776455627507,2.3548305156177958,0.0089910089910089,0.992007992007992,0.0242873940720917
interaction_group,Subclone_03,T_NK_CD4+ T naive,1021,572,0.0186745021221025,0.0243105571717023,0.7681642995759773,-1.8147166326229027,0.968031968031968,0.0329670329670329,0.0242873940720917
interaction_group,Subclone_05,B_PC_IGHG,96,6,0.0020833333333333,0.0056059043854475,0.3716319776593955,-1.5694918984130173,0.975024975024975,0.0259740259740259,0.0056967927664923
interaction_group,Subclone_04,T_NK_CD4+ T regulatory,1001,173,0.0057609057609057,0.0091750277206301,0.6278897390088849,-1.8081863261469648,0.98001998001998,0.0209790209790209,0.0092446174431334
interaction_group,Subclone_04,T_NK_CD4+ T naive,1001,524,0.0174492174492174,0.0243454296141862,0.7167348338371341,-2.2821622089928613,0.996003996003996,0.0049950049950049,0.0242873940720917
interaction_group,Subclone_05,B_Early-PC_MS4A1low,96,0,0.0,0.0013177074724808,0.0,-1.1826322949230177,1.0,0.1018981018981019,0.0013583100190568
interaction_group,Subclone_02,B_Early-PC_MS4A1low,1071,0,0.0,0.0013290722854435,0.0,-1.5618700834341257,1.0,0.0059940059940059,0.0013583100190568
interaction_group,Subclone_05,B_Bm_stress-response,96,0,0.0,0.0022055571898818,0.0,-1.635659491630986,1.0,0.0139860139860139,0.0022300612253172
interaction_group,Subclone_03,B_Early-PC_MS4A1low,1021,0,0.0,0.0013532480224967,0.0,-1.8795339062114471,1.0,0.0009990009990009,0.0013583100190568
interaction_group,Subclone_04,B_Early-PC_MS4A1low,1001,0,0.0,0.0013586422428488,0.0,-1.885409189025848,1.0,0.0009990009990009,0.0013583100190568
interaction_group,Subclone_02,B_Bm_stress-response,1071,0,0.0,0.0022474047727882,0.0,-2.063571707103496,1.0,0.0009990009990009,0.0022300612253172
interaction_group,Subclone_05,T_NK_CD8+ T CXCL13,96,0,0.0,0.0043281302787363,0.0,-2.108911788566742,1.0,0.0009990009990009,0.0043587560313019
interaction_group,Subclone_05,DC,96,0,0.0,0.0041996543295681,0.0,-2.180973212147586,1.0,0.0009990009990009,0.0042776628958358
interaction_group,Subclone_01,B_Early-PC_MS4A1low,3318,5,5.023106288929074e-05,0.0013523499947041,0.0371435376093453,-2.202876936245516,1.0,0.0009990009990009,0.0013583100190568
interaction_group,Subclone_04,B_Bm_stress-response,1001,0,0.0,0.0022112256847321,0.0,-2.328537880530164,1.0,0.0009990009990009,0.0022300612253172
interaction_group,Subclone_03,B_Bm_stress-response,1021,0,0.0,0.0022542269434779,0.0,-2.3339096694659047,1.0,0.0009990009990009,0.0022300612253172
