"cnv_subclone","gene","mean_expr","pct_expr"
"Subclone_01","LAPTM5",0.316177064815934,0.187462326702833
"Subclone_02","LAPTM5",0.053400265138695,0.0588235294117647
"Subclone_03","LAPTM5",0.0433742805556392,0.0372184133202742
"Subclone_04","LAPTM5",0.106995582380647,0.11988011988012
"Subclone_05","LAPTM5",0.10482091235035,0.0625
"Subclone_01","KRAS",0.214892230907385,0.18203737191079
"Subclone_02","KRAS",0.335296644360974,0.416433239962652
"Subclone_03","KRAS",0.188800532702738,0.190009794319295
"Subclone_04","KRAS",0.305084449599506,0.441558441558442
"Subclone_05","KRAS",0.299380312585343,0.21875
"Subclone_01","MIF",2.54125547300835,0.829113924050633
"Subclone_02","MIF",2.56651718010494,0.990662931839402
"Subclone_03","MIF",3.06616239207331,0.969637610186092
"Subclone_04","MIF",2.66794014087478,0.99000999000999
"Subclone_05","MIF",2.59194329842544,0.916666666666667
"Subclone_01","SPP1",0.385508267684067,0.160940325497288
"Subclone_02","SPP1",0.126879971484737,0.102707749766573
"Subclone_03","SPP1",0.120527225431596,0.0842311459353575
"Subclone_04","SPP1",0.160689740743156,0.121878121878122
"Subclone_05","SPP1",0.0959937073695762,0.0625
"Subclone_01","CSF1",0.0444929367096177,0.04249547920434
"Subclone_02","CSF1",0.102321699049453,0.145658263305322
"Subclone_03","CSF1",0.0256756006911778,0.0342801175318315
"Subclone_04","CSF1",0.103852009317576,0.148851148851149
"Subclone_05","CSF1",0.0353963749103915,0.03125
"Subclone_01","CCL2",0.17691738727661,0.100060277275467
"Subclone_02","CCL2",0.126893590831893,0.105508870214753
"Subclone_03","CCL2",0.0777574729801499,0.0548481880509305
"Subclone_04","CCL2",0.143159073737223,0.126873126873127
"Subclone_05","CCL2",0.0627527566205503,0.03125
"Subclone_01","TGFB1",0.294932010331419,0.206751054852321
"Subclone_02","TGFB1",0.0754837086245122,0.108309990662932
"Subclone_03","TGFB1",0.0338778014425247,0.039177277179236
"Subclone_04","TGFB1",0.0973027810707192,0.150849150849151
"Subclone_05","TGFB1",0.0442100849990118,0.0416666666666667
"Subclone_01","VEGFA",0.102403838864801,0.0762507534659433
"Subclone_02","VEGFA",0.397822102505509,0.417366946778712
"Subclone_03","VEGFA",0.138795055941866,0.139079333986288
"Subclone_04","VEGFA",0.357774922453278,0.417582417582418
"Subclone_05","VEGFA",0.17808670545148,0.135416666666667
"Subclone_01","CD47",0.227889916647195,0.191380349608198
"Subclone_02","CD47",0.36552876947282,0.42483660130719
"Subclone_03","CD47",0.152544823060586,0.157688540646425
"Subclone_04","CD47",0.40767160608396,0.505494505494505
"Subclone_05","CD47",0.255675529865946,0.197916666666667
"Subclone_01","EPCAM",0.272021608414718,0.154309825195901
"Subclone_02","EPCAM",1.36005730578611,0.897292250233427
"Subclone_03","EPCAM",0.632798424563812,0.416258570029383
"Subclone_04","EPCAM",1.40194899169411,0.911088911088911
"Subclone_05","EPCAM",1.19514249696818,0.625
"Subclone_01","KRT8",1.04688384889307,0.430379746835443
"Subclone_02","KRT8",2.42284858140624,0.987861811391223
"Subclone_03","KRT8",2.04514633926496,0.864838393731636
"Subclone_04","KRT8",2.09108431330776,0.968031968031968
"Subclone_05","KRT8",2.05681873505118,0.833333333333333
"Subclone_01","VIM",1.74835025061293,0.522603978300181
"Subclone_02","VIM",0.545810375592354,0.373482726423903
"Subclone_03","VIM",0.379629738956402,0.237022526934378
"Subclone_04","VIM",0.645983593633036,0.418581418581419
"Subclone_05","VIM",0.661575597575348,0.333333333333333
"Subclone_01","FN1",0.3076867836593,0.169680530440024
"Subclone_02","FN1",0.0940676995540485,0.0868347338935574
"Subclone_03","FN1",0.0826963814134644,0.0656219392752204
"Subclone_04","FN1",0.153428143370763,0.158841158841159
"Subclone_05","FN1",0.079571891258564,0.0416666666666667
"Subclone_01","MKI67",0.166918640654557,0.107293550331525
"Subclone_02","MKI67",0.0277464127178388,0.0326797385620915
"Subclone_03","MKI67",0.0211421859942514,0.0205680705190989
"Subclone_04","MKI67",0.0292287251141294,0.041958041958042
"Subclone_05","MKI67",0.0565607036858108,0.03125
