"","6","16","17"
"TCL1A",0.361722040243332,0.0945273631840796,0.00253807106598985
"TXNIP",0.917641553579785,0.875621890547264,0.791878172588833
"FCER2",0.28029948525971,0.0522388059701493,0.0253807106598985
"MS4A1",0.686476368741226,0.119402985074627,0.0228426395939086
"IGHG1",0.0790828263921385,0.0497512437810945,0.730964467005076
"IGHG2",0.0758072063640618,0.0298507462686567,0.279187817258883
"IGHG3",0.056621431913898,0.0348258706467662,0.522842639593909
"IGHG4",0.0177819372952737,0.0223880597014925,0.454314720812183
"MZB1",0.0875058493214787,0.0696517412935323,0.989847715736041
"JCHAIN",0.2817033224146,0.17910447761194,0.890862944162436
"XBP1",0.143191389798783,0.604477611940298,0.987309644670051
"HSPA1B",0.118390266729059,0.644278606965174,0.710659898477157
"HSP90AA1",0.570893776321947,0.972636815920398,0.875634517766497
"DNAJB1",0.227889564810482,0.761194029850746,0.631979695431472
"CD83",0.592419279363594,0.873134328358209,0.104060913705584
"TNFRSF13B",0.151146467009827,0.0323383084577114,0.208121827411168
"CD70",0.116986429574169,0.0422885572139304,0.0862944162436548
"FCRLA",0.288254562470753,0.0348258706467662,0.114213197969543
"LAPTM5",0.941974730931212,0.940298507462687,0.251269035532995
"BTG1",0.962564342536266,0.947761194029851,0.631979695431472
