"","6","16","17"
"TCL1A",0.842646275946087,0.100924426441151,0.00238241398721927
"TXNIP",2.8279933280039,1.41036518409799,1.09249649916012
"FCER2",0.544436318988258,0.056504132735025,0.0121587468661774
"MS4A1",1.53650021601046,0.154877342707957,0.0194630122331334
"IGHG1",0.132543497811894,0.109507474131865,2.44512619384104
"IGHG2",0.115313112442357,0.0252257210402974,0.779750325824844
"IGHG3",0.0938238145759456,0.0952955984118826,1.82542578955756
"IGHG4",0.0224156709723339,0.028455712733259,0.757317166683432
"MZB1",0.137112628856255,0.0897735797629287,2.84150575445905
"JCHAIN",0.538009045044591,0.190630482083267,2.92514915019114
"XBP1",0.215200591731606,0.646898266857153,2.66967966781408
"HSPA1B",0.293918524933123,1.71469885723401,1.61293086207124
"HSP90AA1",1.15716318362015,2.45618487116418,1.66115896920058
"DNAJB1",0.433965617576471,1.58275227538227,1.09377853349934
"CD83",1.22425753580737,1.51702627750239,0.104927831797713
"TNFRSF13B",0.235016103271032,0.0259901908305241,0.172835277892004
"CD70",0.200688867983365,0.0404651672619436,0.0623227037755289
"FCRLA",0.499583061004963,0.0293748826344065,0.068096458726268
"LAPTM5",2.79062232327745,1.7971153926746,0.256131070707362
"BTG1",3.01243472037589,1.73987798477164,0.64155857783768
