"ligand","receptor"
"SLIT1","ROBO1"
"APOE","SCARB1"
"ADCYAP1","SCTR"
"HGF","SDC1"
"CCL5","SDC1"
"FGF2","SDC1"
"CXCL8","SDC2"
"FGF2","SDC2"
"TNFSF13","SDC2"
"MDK","SDC4"
"TFPI","SDC4"
"TNC","SDC4"
"CCL5","SDC4"
"FGF2","SDC4"
"THBS1","SDC4"
"SERPING1","SELE"
"LHB","GPR84"
"SELE","CD44"
"PODXL","SELL"
"CFH","SELL"
"SELL","SELPLG"
"SELPLG","SELL"
"SELL","CD34"
"CD34","SELL"
"PODXL2","SELL"
"VCAN","SELL"
"CD24","SELP"
"CD34","SELP"
"SERPING1","SELP"
"VCAN","SELP"
"CD24","SIGLEC10"
"SIRPG","CD47"
"NGF","SORCS3"
"LRPAP1","SORL1"
"LRPAP1","SORT1"
"C5","MTNR1A"
"SPN","ICAM1"
"NECTIN3","TIGIT"
"TIGIT","NECTIN2"
"NECTIN2","TIGIT"
"RNASE2","TLR2"
"ZG16B","TLR2"
"BGN","TLR2"
"VCAN","TLR2"
"DEFB4A","TLR4"
"ZG16B","TLR4"
"BGN","TLR4"
"ZG16B","TLR5"
"ZG16B","TLR6"
"RNASET2","TLR8"
"TNFRSF11B","TNFSF10"
"TNFSF10","TNFRSF11B"
"VWF","TNFRSF11B"
"TNFSF12","TNFRSF12A"
"BTLA","TNFRSF14"
"VSIR","IGSF11"
"TNFRSF14","BTLA"
"LTA","TNFRSF14"
"TNFSF13B","TNFRSF17"
"TNFSF18","TNFRSF18"
"TNFRSF18","TNFSF18"
"LTA","TNFRSF1B"
"APP","TNFRSF21"
"PI16","TNFRSF21"
"TNFSF14","TNFRSF6B"
"TNFRSF8","TNFSF8"
"TNFSF8","TNFRSF8"
"LRPAP1","VLDLR"
"HLA-E","VSIR"
"HLA-F","VSIR"
"BTLA","VTCN1"
"WIF1","WNT1"
"SEMA3F","PLXNA3"
"SEMA3F","PLXNA1"
"C5","GRM7"
"SEMA3F","NRP1"
"HEBP1","ADRA2A"
"HEBP1","MTNR1A"
"HEBP1","GRM7"
"ICAM3","ITGAL"
"ICAM3","ITGB2"
"ICAM3","ITGAD"
"NTN1","UNC5D"
"NTN1","UNC5B"
"NTN1","UNC5A"
"NTN1","ADORA2B"
"SCT","PTH1R"
"SCT","ADCYAP1R1"
"SCT","RAMP2"
"SCT","VIPR1"
"SCT","RAMP3"
"SCT","GPR20"
"SCT","VIPR2"
"SCT","ADRB3"
"SCT","TSHR"
"SCT","GPR84"
"EFNB1","EPHA6"
"VCL","ITGB5"
"APOA1","LDLR"
"MADCAM1","ITGA4"
"MADCAM1","CD44"
"MADCAM1","ITGB7"
"TCN2","LRP2"
"TCN2","CNR1"
"NID2","COL13A1"
"GZMB","CHRM3"
"APOA1","LRP1"
"TIMP1","CD63"
"MMP2","SDC2"
"CCL17","CCR8"
"TG","ASGR1"
"SELPLG","ESAM"
"TG","LRP2"
"PLAT","ITGAM"
"PLAT","LRP1"
"PLAT","ITGB2"
"SELPLG","ITGB2"
"LHB","PTH1R"
"LHB","ADCYAP1R1"
"LHB","RAMP2"
"LHB","VIPR1"
"LHB","RAMP3"
"LHB","GPR20"
"LHB","ADRB2"
"LHB","ADRB3"
"AMH","ACVR1"
"AMH","EGFR"
"EBI3","IL27RA"
"EBI3","IL6ST"
"TGFB1","ENG"
"TGFB1","SMAD3"
"TGFB1","ITGB3"
"TGFB1","ITGAV"
"TGFB1","ITGB1"
"TGFB1","CAV1"
"TGFB1","SDC2"
"TGFB1","CXCR4"
"TGFB1","ITGB5"
"ICAM5","ITGAL"
"ICAM5","ITGB2"
"COMP","ITGB1"
"COMP","ITGB3"
"COMP","CD36"
"IL23A","IL12RB2"
"HGF","CD44"
"HGF","ITGB1"
"HGF","SDC2"
"LAMB1","ITGA7"
"LAMB1","ITGAV"
"LAMB1","ITGB1"
"LAMB1","ITGA6"
"LAMB1","ITGA1"
"LAMB1","ITGA2"
"WNT16","FZD6"
"CCL13","CCR9"
"SERPINE1","LRP2"
"SERPINE1","PLAUR"
"SERPINE1","ITGAV"
"SERPINE1","ITGB5"
"C5","ADRA2A"
"WNT3","RYK"
"WNT3","FZD7"
"WNT3","FZD8"
"WNT3","FZD5"
"CCL2","CCR1"
"CCL2","CCR10"
"CCL2","ACKR4"
"CCL13","CCR1"
"CCL13","ACKR4"
"COL1A1","ITGA5"
"COL1A1","CD93"
"COL1A1","FLT4"
"COL1A1","CD36"
"COL1A1","ITGA1"
"COL1A1","CD44"
"COL1A1","ITGAV"
"COL1A1","ITGA11"
"COL1A1","ITGA2"
"EFNB3","RHBDL2"
"VTN","ITGA5"
"VTN","ITGA8"
"VTN","CD47"
"VTN","ITGAV"
"VTN","KDR"
"VTN","PLAUR"
"VTN","ITGA2B"
"VTN","ITGB3"
"VTN","ITGB6"
"VTN","TNFRSF11B"
"VTN","PVR"
"VTN","ITGB5"
"IBSP","ITGB3"
"IBSP","ITGAV"
"CXCL6","ADRA2A"
"SELPLG","ITGAM"
"CXCL6","GRM7"
"CXCL6","MTNR1A"
"IL2","CD53"
"GNB3","TGFBR1"
"GNB3","GABBR2"
"LAMA4","ITGA6"
"LAMA4","ITGAV"
"LAMA4","ITGB1"
"HBEGF","CD44"
"HBEGF","PRLR"
"IL12B","IL23R"
"IL12B","IL12RB2"
"IL4","IL13RA2"
"IL4","CD53"
"IL5","CSF2RB"
"SEMA3G","NRP2"
"APOB","ITGAM"
"LTF","LRP1"
"LTF","TFRC"
"TFPI","LRP1"
"TFPI","F3"
"APOB","OLR1"
"APOB","VLDLR"
"APOB","CALCR"
"APOB","ADRB2"
"APOB","TLR6"
"APOB","LRP1"
"APOB","ITGB2"
"APOB","TLR4"
"APOB","LRP8"
"PROC","ITGAM"
"PROC","ITGB2"
"PROC","THBD"
"APOA1","LRP2"
"TGFB3","ENG"
"TGFB3","ITGB1"
"TGFB3","ITGB3"
"TGFB3","TGFBR1"
"TGFB3","ACVRL1"
"TGFB3","ITGB6"
"TGFB3","ITGB5"
"INHBA","ACVR1"
"INHBA","ENG"
"INHBA","SMAD3"
"INHBA","BAMBI"
"INHBA","ACVR1B"
"LYPD3","AGR2"
"INHA","ACVR1"
"INHA","ACVR2B"
"PI3","PLD2"
"IL17C","IL17RE"
"EREG","ERBB2"
"PECAM1","EFNB2"
"EFNB2","PECAM1"
"EFNB2","RHBDL2"
"EFNB2","EPHA6"
"EFNB2","GRM1"
"GRM1","EFNB2"
"BMP4","HJV"
"PSPN","GFRA3"
"GDF11","BMPR1A"
"PSPN","RET"
"PSPN","SDC3"
"PSPN","GFRA2"
"PSPN","GFRA1"
"TNFSF9","TRAF2"
"TRAF2","TNFSF9"
"C3","ITGAM"
"C3","CD19"
"C3","CD46"
"C3","MTNR1A"
"C3","GRM7"
"GDF11","BMPR1B"
"C3","ITGAX"
"C3","ADRA2A"
"C3","IFITM1"
"C3","ITGB2"
"C3","CD81"
"TPH1","HTR7"
"VASP","CXCR2"
"GDF1","ACVR2B"
"GDF1","SMAD3"
"GDF1","ACVR1B"
"OMG","RTN4RL1"
"TPH1","HTR1F"
"TPH1","HTR2C"
"TPH1","HTR6"
"TPH1","HTR2A"
"TPH1","HTR2B"
"TPH1","HTR1E"
"AANAT","MTNR1A"
"APOE","LRP2"
"APOE","LRP5"
"APOE","CHRNA4"
"APOE","LRP8"
"APOC2","LDLR"
"LAMA5","SDC1"
"LAMA5","ITGA6"
"THBS1","SCARB1"
"LAMA5","ITGB1"
"LAMA5","ITGA2"
"F12","GP1BA"
"FST","HJV"
"NTS","SORT1"
"GDF11","BMPR2"
"FST","BMPR2"
"FST","BMPR1B"
"SEMA6A","PLXNA2"
"LACRT","SDC1"
"GDF11","ACVR1B"
"LAMC1","ITGA6"
"LAMC1","ITGA1"
"LAMC1","ITGA7"
"LAMC1","ITGAV"
"LAMC1","ITGB1"
"LAMC1","ITGA2"
"IL1RN","IL1RL2"
"ORM1","CCR5"
"CCN3","PLXNA1"
"CCL21","ADRA2A"
"CCL21","MTNR1A"
"THBS1","ITGA6"
"CCL21","CXCR3"
"CCL21","GRM7"
"CCL21","ACKR2"
"CCL27","ADRA2A"
"CCL27","GRM7"
"CCL27","ACKR2"
"CCL27","MTNR1A"
"TGS1","RXRA"
"MMP7","CD44"
"MMP7","CD151"
"MMP7","ERBB4"
"THBS1","ITGA4"
"THBS1","TNFRSF11B"
"THBS1","SDC1"
"THBS1","ITGB1"
"THBS1","LRP5"
"THBS1","ITGA2B"
"THBS1","ITGB3"
"THBS1","CD36"
"ADAM10","EPHA3"
"ADAM10","AXL"
"COL8A1","ITGA1"
"COL8A1","ITGA2"
"LYZ","ITGAL"
"VWF","ITGA2B"
"VWF","ITGB3"
"WNT5A","ADRB2"
"VWF","SELP"
"VWF","SIRPA"
"VWF","GP1BA"
"CDH1","ERBB3"
"CDH1","EGFR"
"CDH1","LRP5"
"CDH1","IGF1R"
"CDH1","ITGB7"
"CDH1","CDH2"
"CDH1","ITGAE"
"CDH1","PTPRM"
"CDH1","PTPRF"
"SEMA7A","ITGB1"
"SEMA7A","ITGA1"
"RIMS2","ABCA1"
"ANOS1","FGFR1"
"TIMP2","ITGB1"
"LGALS3BP","ITGB1"
"IL1A","IL1RAP"
"IL1B","ADRB2"
"MIA","CDH7"
"FARP2","PLXNA3"
"FARP2","PLXNA1"
"FARP2","PLXNA2"
"FARP2","PLXNA4"
"LAMC2","ITGA6"
"LAMC2","CD151"
"LAMC2","ITGB1"
"LAMC2","ITGA2"
"LAMC2","COL17A1"
"NID1","ITGB1"
"NID1","ITGB3"
"WNT5A","FZD9"
"NID1","COL13A1"
"NID1","PTPRF"
"NMU","ADRA2A"
"NMU","GRM7"
"NMU","MTNR1A"
"FGF2","CD44"
"EGF","ADRB2"
"FGF2","SDC3"
"FGF2","GPC4"
"FGF2","FGFRL1"
"WNT5A","LDLR"
"WNT5A","LRP5"
"WNT5A","FZD8"
"ICAM1","EGFR"
"ICAM1","CAV1"
"ICAM1","IL2RA"
"ICAM1","ITGB2"
"ICAM1","IL2RG"
"F13A1","ITGA4"
"F13A1","ITGB1"
"BST1","CAV1"
"VCAN","ITGA4"
"EGF","CAV1"
"VCAN","EGFR"
"VCAN","ITGB1"
"VCAN","TLR1"
"TNC","ITGA5"
"TNC","SDC1"
"TNC","EGFR"
"TNC","PTPRB"
"TNC","ITGA7"
"TNC","ITGB1"
"EGF","LDLR"
"EGF","FSHR"
"EGF","ERBB4"
"ERBB4","EGF"
"SEMA3C","PLXND1"
"SEMA3C","NRP1"
"SEMA3A","PLXNA3"
"SEMA3A","NRP2"
"WNT2","FZD8"
"GAL","ADRA2A"
"GAL","MTNR1A"
"GAL","GRM7"
"GAL","GPR151"
"ADAM28","ITGA4"
"LUM","ITGB1"
"DHH","BOC"
"DHH","CDON"
"FGF7","FGFR4"
"FGF7","FGFR1"
"FGF7","FGFR3"
"HDC","HRH1"
"HDC","HRH2"
"MFGE8","ITGB3"
"IGFBP4","FZD8"
"CGN","F11R"
"CGN","TGFBR2"
"CGN","OCLN"
"CGN","TGFBR1"
"LEFTY1","ACVR2B"
"LEFTY1","ACVR1B"
"GDF7","BMPR2"
"GDF7","BMPR1A"
"CALM2","KCNQ3"
"CALM2","KCNQ5"
"CALM2","ADCY8"
"CALM2","GP6"
"CALM2","PLPP6"
"CALM2","AQP6"
"CALM2","SCN4A"
"NXPH2","NRXN1"
"UCN2","IL10RB"
"LIN7C","ABCA1"
"LIN7C","KCNJ4"
"IL18","CD48"
"IL18","IL1RAPL1"
"IL18","IL18BP"
"QDPR","DYSF"
"CXCL13","GRM7"
"PIGF","FLT1"
"BMP3","ACVR2B"
"WNT3A","FZD5"
"WNT3A","ATP6AP2"
"WNT3A","APCDD1"
"WNT3A","FZD7"
"APP","MTNR1A"
"APP","GRM7"
"APP","CAV1"
"APP","NCSTN"
"WNT7A","FZD9"
"DKK2","KREMEN2"
"CXCL13","CCR10"
"CXCL13","MTNR1A"
"GDF6","BMPR1B"
"NODAL","SMAD3"
"SST","MTNR1A"
"SST","GRM7"
"WNT4","FZD2"
"ACE","BDKRB2"
"AGRP","SDC3"
"CALM3","KCNQ3"
"CALM3","KCNQ5"
"CALM3","GP6"
"CALM3","AQP6"
"CALM3","SCN4A"
"CXCL16","MTNR1A"
"S100A1","TLR4"
"SCGB3A1","MARCO"
"TNFSF12","TNFRSF25"
"HCRT","NPFFR2"
"SSTR2","SHANK1"
"SHANK1","SSTR2"
"WNT1","FZD9"
"WNT1","FZD5"
"CXCL16","GRM7"
"FGF11","FGFR2"
"FGF11","FGFR1"
"FGF11","FGFR3"
"NTN3","CDON"
"COL6A3","ITGA2"
"VCAM1","ITGA4"
"VCAM1","ITGB1"
"VCAM1","ITGB2"
"VCAM1","ITGAD"
"ARPC5","ADRB2"
"ARPC5","LDLR"
"INHBB","ACVR2B"
"INHBB","SMAD3"
"INHBB","ACVR1B"
"COL6A3","ITGB1"
"PF4","MTNR1A"
"IHH","BOC"
"IHH","CDON"
"CXCL3","MTNR1A"
"CXCL3","GRM7"
"CXCL5","MTNR1A"
"CXCL5","GRM7"
"PPBP","MTNR1A"
"PPBP","GRM7"
"PNOC","GRM7"
"PF4","FGFR2"
"PF4","SDC2"
"PF4","GRM7"
"PF4","LDLR"
"PF4","THBD"
"LIPH","LPAR1"
"LIPH","LPAR4"
"MELTF","TFRC"
"CSF2","CSF2RB"
"HSP90B1","TLR9"
"CAMP","P2RX7"
"IL15","IL2RA"
"SCGB3A2","MARCO"
"SPINK1","NRSN1"
"CSF2","ITGB1"
"CSF2","IL3RA"
"CSF2","SDC2"
"FABP5","RXRA"
"COL1A2","CD44"
"COL1A2","ITGB1"
"COL1A2","ITGA11"
"COL1A2","ITGB3"
"COL1A2","CD36"
"COL14A1","CD44"
"VEGFD","ITGA4"
"VEGFD","ITGB1"
"VEGFD","NRP2"
"JAM3","ITGB1"
"HSP90B1","TLR7"
"HSP90B1","TLR4"
"HSP90B1","TLR1"
"COL6A2","ITGB1"
"ANGPTL4","TIE1"
"PNOC","OPRL1"
"PNOC","MTNR1A"
"NRTN","GFRA2"
"IGF1","INSR"
"IGF1","IGF2R"
"IL16","KCNJ4"
"IL16","KCNJ10"
"PCSK9","VLDLR"
"PCSK9","LDLR"
"IL12A","CD28"
"CD14","ITGA4"
"CD14","ITGB1"
"CD14","TLR6"
"CD14","ITGB2"
"COL3A1","ITGB1"
"IL13","IL2RG"
"CXCL10","GRM7"
"CXCL8","SDC3"
"CXCL8","SDC1"
"CXCL8","GRM7"
"CXCL11","GRM7"
"HMMR","HAS2"
"HAS2","HMMR"
"HAS2","CD44"
"RGMB","HJV"
"RGMB","BMPR2"
"RGMB","NEO1"
"RGMB","BMPR1B"
"INHBC","ACVR2B"
"CCL19","CCR10"
"CCL19","GRM7"
"CCL19","ACKR2"
"CLCF1","CRLF1"
"LPL","GPIHBP1"
"LPL","CD44"
"LPL","SDC1"
"LPL","VLDLR"
"EFEMP2","AQP1"
"EFEMP2","PLSCR4"
"ADAM17","ITGB1"
"ADAM17","ERBB4"
"VEGFB","RET"
"GNAI2","LPAR3"
"GNAI2","S1PR5"
"GNAI2","ADORA1"
"GNAI2","C5AR1"
"GNAI2","F2R"
"GNAI2","FPR1"
"GNAI2","S1PR3"
"GNAI2","OPRM1"
"GNAI2","UNC5B"
"GNAI2","CAV1"
"GNAI2","PTPRU"
"GNAI2","TBXA2R"
"GNAI2","CXCR3"
"CALCB","TSHR"
"GNAI2","EDNRB"
"GNAI2","CXCR2"
"GNAI2","DRD2"
"DRD2","GNAI2"
"GNAI2","ADCY7"
"CALCA","GPR20"
"GNAI2","TSHR"
"TSHR","GNAI2"
"ANGPT2","TIE1"
"PKM","CD44"
"CALR","TSHR"
"LPA","ITGAM"
"LPA","ITGB2"
"FGF13","FGFR1"
"FGF13","FGFR2"
"FGF13","FGFR3"
"MMP1","CD44"
"PENK","GRM7"
"LAMA3","ITGB1"
"CNTN1","CNTN2"
"SEMA6D","TREM2"
"TREM2","SEMA6D"
"SEMA6D","PLXNA1"
"PLXNA1","SEMA6D"
"FBN1","ITGB3"
"FBN1","ITGB1"
"PSEN1","CD44"
"BGN","TLR1"
"BMP8A","BMPR1B"
"P4HB","MTTP"
"EFNA5","EPHB1"
"NPW","GRM7"
"CNTN2","CNTNAP2"
"CNTN2","CNTN1"
"CNTN2","NRCAM"
"BCAN","NRCAM"
"FBLN1","ITGB1"
"CALCA","ADCYAP1R1"
"CALCA","GPR84"
"CALCA","ADRB3"
"CALCA","TSHR"
"COL4A5","CD47"
"COL4A5","ITGB1"
"SLIT3","ROBO2"
"PMCH","GRM7"
"COL7A1","ITGB1"
"NPB","GRM7"
"BTLA","CD247"
"HSP90AA1","ITGB3"
"HSP90AA1","FGFR3"
"FGG","ITGB1"
"C1QTNF1","AVPR2"
"FGG","ITGB3"
"FGG","ITGB2"
"FGG","TLR4"
"RTN4","TNFRSF19"
"RTN4","GJB2"
"DMP1","ITGB3"
"NTN4","DCC"
"PTN","SDC1"
"PTN","PTPRS"
"COL9A3","ITGB1"
"COL9A3","MAG"
"ICAM4","ITGAM"
"ICAM4","ITGAL"
"ICAM4","ITGA4"
"ICAM4","ITGB3"
"ICAM4","ITGB1"
"ICAM4","RHAG"
"TNFSF13","TNFRSF14"
"TNFSF13","FAS"
"NRP2","SEMA4F"
"HMGB1","THBD"
"FN1","ITGA4"
"FN1","CD44"
"FN1","ITGB3"
"FN1","C5AR1"
"FN1","ITGA6"
"FN1","ITGA8"
"FN1","COL13A1"
"FN1","TSHR"
"FN1","MAG"
"COL18A1","ITGB1"
"COL18A1","ITGB3"
"COL18A1","GPC4"
"HP","ITGAM"
"HP","ITGB2"
"RSPO1","FZD8"
"ADAM15","ITGB1"
"ADAM15","ITGB3"
"CALM1","KCNQ3"
"CALM1","CALCR"
"CALM1","GRM4"
"CALM1","CRHR1"
"CALM1","HMMR"
"CALM1","ADCYAP1R1"
"CALM1","OPRM1"
"CALM1","GLP1R"
"CALM1","AQP6"
"CALM1","PTPRA"
"CALM1","SCN4A"
"COL9A1","ITGB1"
"GIP","ADCYAP1R1"
"GIP","DPP4"
"GIP","TSHR"
"GIP","GPR20"
"GIP","GPR84"
"SEMA4F","NRP2"
"GAD1","GRM4"
"ITIH2","FCER1A"
"PYY","NPY1R"
"LEFTY2","ACVR1B"
"F8","LDLR"
"COL4A2","ITGB3"
"LAMC3","ITGA6"
"LAMC3","ITGB1"
"COL6A1","ITGB1"
"COL6A1","ITGA6"
"TGM2","ITGA4"
"TGM2","ITGB1"
"TGM2","ITGB3"
"TGM2","SDC4"
"TGM2","TBXA2R"
"THBS2","ITGA4"
"THBS2","ITGB1"
"THBS2","ITGB3"
"THBS2","NOTCH4"
"THBS2","ITGA6"
"THBS2","CD36"
"TGFB2","ENG"
"C4BPA","BMPR2"
"VIP","GPR84"
"VIP","GPR20"
"VIP","TSHR"
"CFH","ITGAM"
"PTGS2","ALOX5"
"CCN2","ITGAM"
"CCN2","NTRK1"
"CCN2","ITGB2"
"APOA2","LDLR"
"EFNA1","EPHB6"
"EFNA1","EPHB1"
"EFNA3","EPHB6"
"EFNA3","EPHB1"
"EPHB1","EFNA3"
"NGF","MAGED1"
"NGF","BEX3"
"L1CAM","FGFR2"
"L1CAM","EPHB2"
"L1CAM","CNTN1"
"ANGPTL3","ITGB3"
"COL11A1","ITGB1"
"COL11A1","DDR1"
"CD40LG","ITGAM"
"CD40LG","ITGB2"
"CD40LG","TRAF3"
"GNAS","ADCY7"
"RBP4","STRA6"
"COL5A1","ITGB1"
"CEL","CXCR4"
"SFTPD","TLR4"
"MMP9","ITGAM"
"MMP9","CD44"
"MMP9","ITGB2"
"SPTAN1","PTPRA"
"COL9A2","ITGB1"
"PLAU","ITGAM"
"PLAU","VLDLR"
"INSL3","GPR84"
"PLAU","ITGB1"
"PLAU","ITGB2"
"COL16A1","ITGB1"
"HSPG2","SDC1"
"COL5A2","ITGB1"
"F10","ITGAM"
"F10","ITGB2"
"NRXN1","RPH3A"
"COL4A1","ITGB1"
"FGF14","FGFR2"
"FGF14","FGFR1"
"HLA-C","CD3G"
"HLA-C","KIR3DL1"
"CALCB","GPR84"
"HLA-E","KIR3DL1"
"ACTR2","LDLR"
"NDP","LGR4"
"GDF9","BMPR1B"
"AGRN","ITGB1"
"INSL3","ADCYAP1R1"
"INSL3","TSHR"
"INSL3","RXFP1"
"AVP","ADCYAP1R1"
"AVP","LDLR"
"AVP","GPR84"
"AVP","TSHR"
"SHBG","CLDN4"
"ADM","ADCYAP1R1"
"COL2A1","ITGB1"
"RLN2","ADCYAP1R1"
"RLN2","TSHR"
"RLN2","GPR84"
"ZG16B","CXCR4"
"RPH3A","NRXN1"
"LAMA1","ITGA6"
"LAMA1","ITGA7"
"CCL25","ACKR2"
"LAMB3","CD151"
"LAMB3","ITGB1"
"LAMB3","ITGA6"
"AFDN","NRXN3"
"TF","LDLR"
"COL4A6","ITGB1"
"SPP1","ITGA4"
"SPP1","ITGB1"
"SPP1","ITGB3"
"C4A","C5AR2"
"ADM2","ADCYAP1R1"
"ADM2","TSHR"
"ADM2","GPR84"
"CXCL12","ITGB1"
"HSPA8","LDLR"
"BMP7","BMPR1B"
"COL4A3","ITGB3"
"COL4A4","ITGB3"
"HLA-A","CD3G"
"CNTN4","PTPRG"
"ADM","TSHR"
"TCTN1","TMEM67"
"DSCAM","DCC"
"POMC","ADCYAP1R1"
"CALCB","ADCYAP1R1"
"POMC","OPRM1"
"POMC","GPR84"
"POMC","TSHR"
"FBLN2","ITGB3"
"SAA1","FPR1"
"MDK","ITGA6"
"TF","TFR2"
"ARTN","GFRA2"
"NTF3","NTRK1"
"CCN1","ITGAM"
"CCN1","ITGB3"
"HLA-B","CD3G"
"LAMA2","ITGA7"
"ICAM2","ITGAM"
"C1QTNF5","MFRP"
"ADM","GPR84"
"PTHLH","ADCYAP1R1"
"PTHLH","GPR84"
"CGA","ADCYAP1R1"
"HSP90AA1","CFTR"
"PLAU","ITGA3"
"LAMA3","ITGA3"
"LAMA4","ITGA3"
"LAMA2","ITGA3"
"LAMA1","ITGA3"
"NID1","ITGA3"
"LAMC3","ITGA3"
"THBS1","ITGA3"
"TIMP2","ITGA3"
"LAMB2","ITGA3"
"COL4A3","ITGA3"
"LAMA5","ITGA3"
"ADAM9","ITGA3"
"LAMC1","ITGA3"
"LAMB3","ITGA3"
"COL18A1","ITGA3"
"VTN","ITGA3"
"NTF4","NGFR"
"LAMB1","ITGA3"
"LAMC2","ITGA3"
"FN1","ITGA3"
"HLA-G","CD4"
"CXCL12","CD4"
"SLPI","CD4"
"PIP","CD4"
"CPAMD8","SCTR"
"CALM1","SCTR"
"RTN4R","RTN4"
"RTN4","RTN4R"
"OMG","RTN4R"
"CALM2","KCNQ1"
"CALM1","KCNQ1"
"IL22","IL10RA"
"CALM3","KCNQ1"
"TNFSF13","TNFRSF1A"
"LTB","TNFRSF1A"
"IL2","NGFR"
"RTN4","NGFR"
"NTF3","NGFR"
"OMG","NGFR"
"APP","NGFR"
"NTS","NGFR"
"BDNF","DRD4"
"PYY","FAP"
"NPY","FAP"
"LAMA3","ITGB4"
"LAMA2","ITGB4"
"LAMC3","ITGB4"
"LAMB2","ITGB4"
"LAMA5","ITGB4"
"LAMC1","ITGB4"
"LAMA1","ITGB4"
"LAMB3","ITGB4"
"LAMB1","ITGB4"
"LAMC2","ITGB4"
"INHBA","TGFBR3"
"PROC","PROCR"
"AVP","RAMP3"
"PF4","PROCR"
"COL2A1","TNFRSF10A"
"RIMS1","SLC17A7"
"VIP","RAMP3"
"BTLA","CD79A"
"CXCL8","CD79A"
"FN1","CD79A"
"KITLG","EPOR"
"LAMA1","ITGB8"
"VTN","ITGB8"
"COL4A1","ITGB8"
"FN1","ITGB8"
"HBEGF","CD82"
"CALM2","SELL"
"CALM1","SELL"
"CALM3","SELL"
"RAET1E","KLRK1"
"INHBC","ACVR2A"
"PTHLH","RAMP3"
"GDF9","ACVR2A"
"NODAL","ACVR2A"
"GDF7","ACVR2A"
"LEFTY1","ACVR2A"
"INHA","ACVR2A"
"GDF1","ACVR2A"
"INHBB","ACVR2A"
"LEFTY2","ACVR2A"
"BMP2","ACVR2A"
"BMP6","ACVR2A"
"GDF5","ACVR2A"
"ADCYAP1","RAMP3"
"CGA","RAMP3"
"POMC","RAMP3"
"RLN2","RAMP3"
"GIP","RAMP3"
"INSL3","RAMP3"
"APOA2","LRP1"
"AGRN","LRP1"
"GPC3","LRP1"
"PDGFB","LRP1"
"A2M","LRP1"
"APOC2","LRP1"
"SERPINE2","LRP1"
"HSPG2","LRP1"
"APOE","LRP1"
"MMP9","LRP1"
"HSP90B1","LRP1"
"PLAU","LRP1"
"LRPAP1","LRP1"
"C3","LRP1"
"FCN2","LRP1"
"THBS1","LRP1"
"C1QB","LRP1"
"C4BPA","LRP1"
"F8","LRP1"
"CCN2","LRP1"
"HPX","LRP1"
"APP","LRP1"
"LPL","LRP1"
"LIPC","LRP1"
"PSAP","LRP1"
"WNT3A","LRP1"
"COL4A6","CD93"
"INHBB","ACVR1C"
"F12","CD93"
"COL4A3","CD93"
"COL4A5","CD93"
"COL4A2","CD93"
"COL4A4","CD93"
"COL1A2","CD93"
"COL4A1","CD93"
"GNAI2","S1PR4"
"KISS1","MMP24"
"IGFL2","IGFLR1"
"IGFL3","IGFLR1"
"HLA-B","CANX"
"TNFSF4","TRAF2"
"TRAF2","TNFSF4"
"TNF","TRAF2"
"GSTP1","TRAF2"
"CCL11","ACKR4"
"CCL7","ACKR4"
"CCL8","ACKR4"
"ADCYAP1","RAMP2"
"CGA","RAMP2"
"AVP","RAMP2"
"VIP","RAMP2"
"PTHLH","RAMP2"
"POMC","RAMP2"
"RLN2","RAMP2"
"GIP","RAMP2"
"INSL3","RAMP2"
"GUCA2B","GUCY2D"
"CHRM3","ARF1"
"ARF1","CHRM3"
"VEGFC","LYVE1"
"NGF","SORT1"
"BDNF","SORT1"
"PSAP","SORT1"
"NGF","KIDINS220"
"SST","ADRA2A"
"PDGFD","PDGFRA"
"LAMA1","NT5E"
"FN1","NT5E"
"IL18","IL1RL2"
"CALM1","MIP"
"CD14","RIPK1"
"CALR","HLA-F"
"B2M","HLA-F"
"HSP90B1","TLR2"
"L1CAM","ITGAV"
"COL1A2","ITGAV"
"TNC","ITGAV"
"PLAU","ITGAV"
"EDIL3","ITGAV"
"COL4A6","ITGAV"
"COL4A5","ITGAV"
"NRG3","ERBB2"
"SPP1","ITGAV"
"NID1","ITGAV"
"PDGFB","ITGAV"
"ICAM4","ITGAV"
"COL4A4","ITGAV"
"ERBB2","SEMA4D"
"CCN1","ITGAV"
"COL4A3","ITGAV"
"COL2A1","ITGA2B"
"FBN1","ITGAV"
"AZGP1","ITGAV"
"ADAM9","ITGAV"
"VEGFA","ITGAV"
"ADAM15","ITGAV"
"ANGPTL3","ITGAV"
"COL4A1","ITGAV"
"FN1","ITGAV"
"CP","SLC40A1"
"IGFBP4","LRP6"
"RSPO1","LRP6"
"DKK2","LRP6"
"SAA1","SCARB1"
"MFGE8","PDGFRB"
"PDGFA","PDGFRB"
"COL1A2","FLT4"
"FN1","FLT4"
"EGF","LRP2"
"ASIP","MGRN1"
"CALR","ITGA2B"
"FGG","ITGA2B"
"COL1A2","ITGA2B"
"FN1","ITGA2B"
"CALM1","GLP2R"
"CALM2","TRPC5"
"CALM1","TRPC5"
"CALM3","TRPC5"
"CALM1","KCNN4"
"CALR","SCARF1"
"ARF1","PLD2"
"HSPA1A","GRIN2D"
"WNT5A","LRP2"
"THBS2","NOTCH3"
"CLCF1","LIFR"
"HLA-A","APLP2"
"INHBB","ACVR1"
"BMP2","ACVR1"
