"ligand","receptor"
"EGF","ERBB2"
"ERBB2","EGF"
"DLL3","NOTCH2"
"WNT2","FZD9"
"IL11","IL11RA"
"GDF11","ACVR2B"
"NODAL","ACVR2B"
"GDF5","ACVR2B"
"CSF2","CSF3R"
"IFNK","IFNAR1"
"IFNL1","IL10RB"
"IL10","IL10RB"
"IFNK","IFNAR2"
"IFNL1","IFNLR1"
"IL19","IL20RB"
"IL20","IL20RB"
"IL24","IL20RB"
"IL22","IL22RA2"
"MFAP2","NOTCH1"
"CTF1","LIFR"
"TGFB1","ITGB8"
"TGFB1","ITGB6"
"PDGFD","PDGFRB"
"FGF17","FGFR2"
"FGF18","FGFR2"
"FGF22","FGFR2"
"FGF9","FGFR3"
"MST1","MST1R"
"EFNA1","EPHA7"
"BDNF","NTRK2"
"NTF3","NTRK3"
"EFNA3","EPHA3"
"EFNA4","EPHA4"
"EPHA4","EFNA4"
"EFNB1","EPHB1"
"EPHB2","EFNB2"
"EFNB2","EPHB2"
"EFNA2","EPHA7"
"EPHA7","EFNA2"
"EFNA3","EPHA7"
"EPHA7","EFNA3"
"EPHA8","EFNA4"
"EFNA4","EPHA7"
"EPHA7","EFNA4"
"EFNA2","EPHA8"
"EPHA8","EFNA2"
"EPHA8","EFNA3"
"EFNA3","EPHA8"
"EFNA4","EPHA8"
"EPHA8","EFNA5"
"EFNA5","EPHA8"
"EPHA2","EFNA4"
"EFNA4","EPHA2"
"EFNA4","EPHA3"
"EFNA2","EPHA5"
"EFNA3","EPHA5"
"EFNA4","EPHA5"
"EFNB2","EPHB1"
"EPHB2","EFNB1"
"EFNB1","EPHB2"
"EPHB3","EFNB1"
"EFNB1","EPHB3"
"EFNB2","EPHB3"
"EPHB3","EFNB2"
"EFNB2","EPHA3"
"AFDN","EPHB3"
"PTN","ALK"
"MDK","ALK"
"ANGPT4","TIE1"
"ANGPTL1","TEK"
"WNT5A","ROR1"
"PTPRF","INSR"
"GNAI2","CCR5"
"CXCL12","ACKR3"
"CCL19","ACKR4"
"CCL21","ACKR4"
"CCL25","ACKR4"
"ADM","CALCRL"
"ADM","RAMP2"
"ADM2","CALCRL"
"ADM2","RAMP2"
"CALCA","CALCRL"
"CALCA","RAMP2"
"CALCB","CALCRL"
"CALCB","RAMP2"
"AGT","AGTR1"
"ADM","RAMP3"
"ADM2","RAMP3"
"CALCA","RAMP3"
"CALCB","RAMP3"
"ADM","CALCR"
"ADM2","CALCR"
"ADM2","RAMP1"
"CALCA","CALCR"
"CALCA","RAMP1"
"CALCB","CALCR"
"CALCB","RAMP1"
"APLN","APLNR"
"APELA","APLNR"
"PROS1","AXL"
"NMB","NMBR"
"GRP","GRPR"
"NMB","GRPR"
"C3","C3AR1"
"C5","C5AR1"
"RPS19","C5AR1"
"CCL5","CCR1"
"C5","C5AR2"
"CCK","CCKBR"
"CCL14","CCR1"
"CCL15","CCR1"
"CCL23","CCR1"
"CCL3","CCR1"
"CCL7","CCR1"
"CCL4","CCR1"
"CCL27","CCR10"
"CCL13","CCR2"
"CCL2","CCR2"
"CCL7","CCR2"
"CCL8","CCR2"
"CCL11","CCR2"
"CCL24","CCR2"
"CCL26","CCR2"
"CCL5","CCR3"
"CCL11","CCR3"
"CCL13","CCR3"
"CCL15","CCR3"
"CCL2","CCR3"
"CCL24","CCR3"
"CCL26","CCR3"
"CCL7","CCR3"
"CCL17","CCR4"
"CCL22","CCR4"
"CCL11","CCR5"
"CCL13","CCR5"
"UCN","CRHR2"
"CCL14","CCR5"
"CCL2","CCR5"
"CCL3","CCR5"
"CCL7","CCR5"
"UCN2","CRHR2"
"DEFB4A","CCR6"
"CCL20","CCR6"
"CCL19","CCR7"
"CCL21","CCR7"
"CCL1","CCR8"
"CCL19","CCRL2"
"THBS1","CD47"
"RARRES2","CMKLR1"
"UCN","CRHR1"
"UCN2","CRHR1"
"CXCL6","CXCR1"
"CXCL8","CXCR1"
"CXCL1","CXCR2"
"CXCL2","CXCR2"
"CXCL3","CXCR2"
"CXCL5","CXCR2"
"CXCL6","CXCR2"
"PPBP","CXCR2"
"CXCL8","CXCR2"
"CCL13","CXCR3"
"CCL19","CXCR3"
"CCL20","CXCR3"
"CCL5","CXCR3"
"CXCL12","CXCR3"
"EDN1","EDNRA"
"CCL11","CXCR3"
"CCL7","CXCR3"
"CXCL12","CXCR4"
"CXCL13","CXCR5"
"CX3CL1","CX3CR1"
"EDA","EDAR"
"EDA","EDA2R"
"EDN2","EDNRA"
"EDN3","EDNRB"
"CAMP","FPR2"
"SAA1","FPR2"
"ANXA1","FPR3"
"HEBP1","FPR3"
"WNT3A","FZD6"
"WNT5A","FZD6"
"GAL","GALR2"
"GAL","GALR3"
"GIP","GIPR"
"GNRH2","GNRHR"
"NPPA","NPR1"
"NPPB","NPR1"
"NPPC","NPR2"
"PSAP","GPR37"
"PSAP","GPR37L1"
"IL15","IL2RG"
"CCL5","GPR75"
"RSPO1","LGR4"
"RSPO2","LGR4"
"RSPO3","LGR4"
"RSPO4","LGR4"
"RSPO1","LGR5"
"RSPO2","LGR5"
"RSPO3","LGR5"
"RSPO4","LGR5"
"RSPO3","LGR6"
"RSPO1","LGR6"
"RSPO2","LGR6"
"RSPO4","LGR6"
"IL15","IL2RB"
"IL22","IL22RA1"
"PDYN","OPRK1"
"POMC","OPRK1"
"KISS1","KISS1R"
"CGA","LHCGR"
"LHB","LHCGR"
"PMCH","MCHR1"
"POMC","MC1R"
"POMC","MC4R"
"AGRP","MC4R"
"POMC","MC5R"
"AGRP","MC5R"
"CALM2","MYLK2"
"PDYN","OPRM1"
"PENK","OPRM1"
"CALM1","MYLK"
"CALM3","MYLK2"
"CALM2","MYLK"
"CALM3","MYLK"
"CALM1","MYLK2"
"TAC1","TACR1"
"TAC3","TACR1"
"TAC1","TACR2"
"NMU","NMUR2"
"TAC3","TACR2"
"NMU","NMUR1"
"NPFF","NPFFR1"
"NPFF","NPFFR2"
"NTS","NTSR1"
"OXT","OXTR"
"AVP","OXTR"
"HCRT","HCRTR2"
"ADCYAP1","ADCYAP1R1"
"VIP","ADCYAP1R1"
"SCT","SCTR"
"PTHLH","PTH1R"
"PTHLH","PTH2R"
"QRFP","QRFPR"
"RLN2","RXFP1"
"OXT","AVPR1A"
"RLN1","RXFP1"
"NPY","NPY5R"
"VIP","SCTR"
"SELP","SELPLG"
"SELPLG","SELP"
"CORT","SSTR1"
"SST","SSTR1"
"CORT","SSTR2"
"SST","SSTR2"
"CORT","SSTR3"
"SST","SSTR3"
"GAS6","TYRO3"
"PROS1","TYRO3"
"VIP","VIPR2"
"ADCYAP1","VIPR1"
"VIP","VIPR1"
"ADCYAP1","VIPR2"
"AVP","AVPR1A"
"OXT","AVPR1B"
"AVP","AVPR1B"
"OXT","AVPR2"
"AVP","AVPR2"
"XCL1","XCR1"
"XCL2","XCR1"
"NPY","NPY2R"
"PYY","NPY2R"
"PPY","NPY5R"
"GNAS","ADCY1"
"FN1","ITGB1"
"PRSS1","F2RL1"
"WNT6","FZD1"
"CALM2","PDE1A"
"CALM1","PDE1A"
"CALM3","PDE1A"
"CALM2","PDE1B"
