"source_group","target_group","ligand","receptor","score","ligand_avg","receptor_avg","ligand_pct","receptor_pct","lr_pair"
"CNV_Subclone_02","Myeloid_Macro-THBS1","PSAP","LRP1",0.807027564985082,0.999466361028005,1.2995564784584,0.763772175536881,0.813506815365551,"PSAP -> LRP1"
"CNV_Subclone_04","T_NK_CD8+ T CXCL13","HLA-E","CD8B",0.803791895160851,0.6861052975883,2.07303247248396,0.66033966033966,0.855813953488372,"HLA-E -> CD8B"
"T_NK_CD56dim cytotoxic NK","CNV_Subclone_02","HLA-C","DDR1",0.80222491652798,3.40923609538378,0.459647933770387,0.993262752646776,0.515406162464986,"HLA-C -> DDR1"
"CNV_Subclone_04","Myeloid_cDC1","PTGES3","PTGER4",0.79640385643732,1.3258920465319,0.867270235309849,0.912087912087912,0.759336099585062,"PTGES3 -> PTGER4"
"CNV_Subclone_02","Myeloid_Macro-THBS1","APOA1","LRP1",0.787105001890913,1.04232787827854,1.2995564784584,0.714285714285714,0.813506815365551,"APOA1 -> LRP1"
"CNV_Subclone_02","Myeloid_Macro-THBS1","LAMA5","CD44",0.782603173443068,0.585740705433791,2.3522579235153,0.581699346405229,0.976456009913259,"LAMA5 -> CD44"
"CNV_Subclone_02","Myeloid_Macro-LYVE1","CCN1","ITGB5",0.775370341317198,1.70391715725019,0.868471833577772,0.788982259570495,0.66410650281618,"CCN1 -> ITGB5"
"CNV_Subclone_04","T_NK_CD8+ T resident memory","HLA-B","CD3G",0.77391882742325,1.32960069814269,1.18656648570913,0.789210789210789,0.62156862745098,"HLA-B -> CD3G"
"CNV_Subclone_04","Myeloid_Macro-TIMD4","B2M","TFRC",0.766724624678289,2.55172149757382,0.655089693556286,0.978021978021978,0.468982630272953,"B2M -> TFRC"
"Smooth_muscle_cells","CNV_Subclone_02","COL1A2","ITGB1",0.756999970130713,3.47608931693934,0.478860108047156,0.908700898243732,0.50046685340803,"COL1A2 -> ITGB1"
"CNV_Subclone_02","CNV_Subclone_02","LAMA5","BCAM",0.746391252629898,0.585740705433791,2.26024062527099,0.581699346405229,0.969187675070028,"LAMA5 -> BCAM"
"Myeloid_Macro-LYVE1","CNV_Subclone_02","CD14","ITGB1",0.744708215663787,3.15591375327201,0.478860108047156,0.984639016897081,0.50046685340803,"CD14 -> ITGB1"
"T_NK_CD56dim cytotoxic NK","CNV_Subclone_02","GZMB","PGRMC1",0.72159140255219,1.89836003947836,0.827256700754378,0.645813282001925,0.711484593837535,"GZMB -> PGRMC1"
"CNV_Subclone_03","Myeloid_Macro-C3/CX3CR1","UBA52","TGFBR1",0.718742002200666,2.84579392767234,0.608716240065054,0.970617042115573,0.427471116816431,"UBA52 -> TGFBR1"
