patient_id,timepoint,cluster,n_cells,cluster_fraction
"P16","Pre-treatment","11",6,0.0016629711751663
"P17","Pre-treatment","11",1,0.000272553829381303
"P18","Post-treatment","11",0,0
"P19","Post-treatment","11",3,0.00181708055723804
"P20","Post-treatment","11",3,0.00214745884037223
"P21","Post-treatment","11",4,0.000689417442261289
"P23","Post-treatment","11",1,0.000326370757180157
"P24","Post-treatment","11",1,0.00042863266180883
"P01","Time1","12",0,0
"P01","Time2","12",0,0
"P02","Time1","12",0,0
"P02","Time2","12",0,0
"P02","Time3","12",0,0
"P03","Time1","12",0,0
"P03","Time2","12",0,0
"P03","Time3","12",0,0
"P04","Time1","12",0,0
"P04","Time2","12",1,0.0001953125
"P04","Time3","12",0,0
"P05","Time1","12",0,0
"P05","Time2","12",0,0
"P05","Time3","12",0,0
"P06","Time1","12",0,0
"P06","Time2","12",0,0
"P06","Time3","12",2,0.00231749710312862
"P07","Time1","12",0,0
"P07","Time2","12",0,0
"P08","Time1","12",0,0
"P08","Time2","12",0,0
"P08","Time3","12",0,0
"P09","Time1","12",0,0
"P09","Time2","12",0,0
"P09","Time3","12",0,0
"P10","Pre-treatment","12",0,0
"P11","Pre-treatment","12",0,0
"P12","Pre-treatment","12",1,0.00016636167027117
"P13","Pre-treatment","12",0,0
"P14","Pre-treatment","12",0,0
"P15","Pre-treatment","12",2,0.00085726532361766
"P16","Pre-treatment","12",3,0.000831485587583149
"P17","Pre-treatment","12",5,0.00136276914690651
"P18","Post-treatment","12",0,0
"P19","Post-treatment","12",0,0
"P20","Post-treatment","12",0,0
"P21","Post-treatment","12",1,0.000172354360565322
"P23","Post-treatment","12",2772,0.904699738903394
"P24","Post-treatment","12",2,0.00085726532361766
"P01","Time1","13",0,0
"P01","Time2","13",0,0
"P02","Time1","13",0,0
"P02","Time2","13",0,0
"P02","Time3","13",0,0
"P03","Time1","13",0,0
"P03","Time2","13",0,0
"P03","Time3","13",0,0
"P04","Time1","13",288,0.061551613592648
"P04","Time2","13",58,0.011328125
"P04","Time3","13",2,0.00110926234054354
"P05","Time1","13",0,0
"P05","Time2","13",9,0.00238473767885533
"P05","Time3","13",8,0.00195407914020518
"P06","Time1","13",4,0.00315706393054459
"P06","Time2","13",90,0.526315789473684
"P06","Time3","13",68,0.0787949015063731
"P07","Time1","13",62,0.0142397795130914
"P07","Time2","13",142,0.0150073980131051
"P08","Time1","13",482,0.0985483541198119
"P08","Time2","13",65,0.0143171806167401
"P08","Time3","13",25,0.00652060511215441
"P09","Time1","13",1,0.000829187396351576
"P09","Time2","13",7,0.00401836969001148
"P09","Time3","13",2,0.00141043723554302
"P10","Pre-treatment","13",133,0.47841726618705
"P11","Pre-treatment","13",26,0.00764256319811875
"P12","Pre-treatment","13",8,0.00133089336216936
"P13","Pre-treatment","13",155,0.0636027903159623
"P14","Pre-treatment","13",52,0.0145699075371252
"P15","Pre-treatment","13",25,0.0107158165452207
"P16","Pre-treatment","13",320,0.0886917960088692
"P17","Pre-treatment","13",367,0.100027255382938
"P18","Post-treatment","13",4,0.00234879624192601
"P19","Post-treatment","13",13,0.0078740157480315
"P20","Post-treatment","13",4,0.00286327845382964
"P21","Post-treatment","13",11,0.00189589796621855
"P23","Post-treatment","13",53,0.0172976501305483
"P24","Post-treatment","13",158,0.0677239605657951
"P01","Time1","14",0,0
"P01","Time2","14",0,0
"P02","Time1","14",0,0
"P02","Time2","14",0,0
"P02","Time3","14",0,0
"P03","Time1","14",0,0
"P03","Time2","14",0,0
"P03","Time3","14",0,0
"P04","Time1","14",2,0.000427441761060056
"P04","Time2","14",0,0
"P04","Time3","14",0,0
"P05","Time1","14",8,0.00245700245700246
"P05","Time2","14",9,0.00238473767885533
"P05","Time3","14",15,0.00366389838788471
"P06","Time1","14",1,0.000789265982636148
"P06","Time2","14",0,0
"P06","Time3","14",0,0
"P07","Time1","14",3,0.000689021589343133
"P07","Time2","14",1,0.00010568590150074
"P08","Time1","14",9,0.00184011449601309
"P08","Time2","14",0,0
"P08","Time3","14",0,0
"P09","Time1","14",1,0.000829187396351576
"P09","Time2","14",3,0.00172215843857635
"P09","Time3","14",0,0
"P10","Pre-treatment","14",3,0.0107913669064748
"P11","Pre-treatment","14",1,0.000293944738389183
"P12","Pre-treatment","14",12,0.00199634004325403
"P13","Pre-treatment","14",6,0.00246204349610176
"P14","Pre-treatment","14",10,0.00280190529560101
"P15","Pre-treatment","14",1,0.00042863266180883
"P16","Pre-treatment","14",869,0.240853658536585
"P17","Pre-treatment","14",1039,0.283183428727174
"P18","Post-treatment","14",0,0
"P19","Post-treatment","14",10,0.00605693519079346
"P20","Post-treatment","14",568,0.406585540443808
"P21","Post-treatment","14",9,0.0015511892450879
"P23","Post-treatment","14",2,0.000652741514360313
"P24","Post-treatment","14",37,0.0158594084869267
"P01","Time1","15",0,0
"P01","Time2","15",0,0
"P02","Time1","15",0,0
"P02","Time2","15",0,0
"P02","Time3","15",0,0
"P03","Time1","15",0,0
"P03","Time2","15",0,0
"P03","Time3","15",0,0
"P04","Time1","15",7,0.00149604616371019
"P04","Time2","15",12,0.00234375
"P04","Time3","15",1562,0.866333887964504
"P05","Time1","15",1,0.000307125307125307
"P05","Time2","15",0,0
"P05","Time3","15",0,0
"P06","Time1","15",0,0
