dataset_id,provisional_broad_lineage,n_cells,n_samples,median_module_top_score,median_score_margin,author_supported_fraction
"GSE158722","Epithelial_like",56040,39,2.1927999318573,1.55806226709979,0
"GSE158722","Cycling_like",2628,37,1.59869901274406,0.321872409669342,0
"GSE158722","Fibroblast_like",2294,29,1.96675081940856,0.515271647813708,0
"GSE158722","Uncertain",824,35,1.08535108268621,0.00476444711264001,0
"GSE158722","Myeloid_like",3803,27,1.79134270924519,1.21243625581396,0
"GSE158722","Endothelial_like",50,17,0.903912901394865,0.372776554042538,0
"GSE158722","T_NK_like",2379,21,1.31124483287826,0.743940557596775,0
"GSE158722","B_Plasma_like",550,21,0.942344720032322,0.380584490090967,0
