cell_type_original,n_cells,n_patients,SPP1_program_median,C1QC_program_median,FOLR2_program_median,lipid_program_median,SPP1_positive_fraction
"M09_Macro_C1QC",1925,2,0.00599880766980865,0.585397813207628,0.429707821830343,0.0968825843544853,0.437922077922078
"M08_Macro_SPP1",1353,2,0.276940310736486,-0.0169993318708702,-0.134898314326281,0.1502106216106,0.798226164079823
"M04_cDC2_CD1C",142,2,-0.967289051150267,-1.01080322609306,-0.683717585407026,-0.933078995099461,0.295774647887324
"M06_Mono_CD14",258,2,-0.895528308043749,-1.51752703057065,-0.787707480347781,-0.698564327359524,0.209302325581395
"M07_Mono_CD16",160,2,-0.951832272126761,-1.51752703057065,-1.21146901072456,-0.816974940179687,0.075
"M05_cDC3_LAMP3",15,2,-1.11362503943863,-1.51752703057065,-1.16187864270693,-1.1388192779947,0.266666666666667
"M01_Mast_KIT",7,2,-0.699548606431856,-1.51752703057065,-1.21146901072456,-0.485316390715681,0
"M03_cDC1_CLEC9A",17,2,-1.13073765199544,-1.51752703057065,-1.21146901072456,-1.00482901796406,0.117647058823529
"M02_pDC_LILRA4",11,2,-1.04718282988381,-1.51752703057065,-1.21146901072456,-1.19006990776194,0
