p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,dataset_id,parent_cluster,subcluster
5.46349255396155e-22,6.3177541466927,0.253,0.003,1.89288163024552e-17,"1","CDCA5","GSE147082","6","1"
6.28241631096598e-22,2.52697269247709,0.465,0.067,2.17660595509727e-17,"1","RPA3","GSE147082","6","1"
1.07416842362421e-21,4.32963876182513,0.323,0.022,3.72156392048844e-17,"1","RAD51AP1","GSE147082","6","1"
1.2413823651536e-21,1.02341817225396,1,0.933,4.30089334231115e-17,"1","PTMA","GSE147082","6","1"
2.06524235282986e-21,4.52066374698609,0.283,0.011,7.15523865561433e-17,"1","PRC1.AS1","GSE147082","6","1"
2.69266700117141e-21,2.28329323680776,0.616,0.159,9.32901409225848e-17,"1","SNRPD1","GSE147082","6","1"
5.37110811817909e-21,2.86859928854321,0.374,0.038,1.86087411862433e-16,"1","BUB1","GSE147082","6","1"
5.61047521252337e-21,1.79449625598425,0.747,0.243,1.94380524213085e-16,"1","ANP32E","GSE147082","6","1"
2.02707358928731e-20,4.10423286360321,0.273,0.011,7.02299915744481e-16,"1","KIAA1524","GSE147082","6","1"
2.30834573466022e-20,2.17027828948404,0.545,0.116,7.9974946323038e-16,"1","ATAD2","GSE147082","6","1"
3.50723913667968e-20,1.86712611434644,0.747,0.253,1.21511807129404e-15,"1","RAN","GSE147082","6","1"
3.61923751442106e-20,5.97458665115394,0.232,0.003,1.25392102924632e-15,"1","KIF18B","GSE147082","6","1"
1.18383806956967e-19,4.65621164729385,0.263,0.011,4.10152537583108e-15,"1","PRR11","GSE147082","6","1"
1.19390443851882e-19,4.44915765764668,0.273,0.013,4.13640131769231e-15,"1","KIF14","GSE147082","6","1"
1.27796586563611e-19,9.07092240174974,0.212,0,4.42764053808286e-15,"1","CDCA2","GSE147082","6","1"
1.28948941641314e-19,1.41387509574356,0.929,0.485,4.46756503210498e-15,"1","NUCKS1","GSE147082","6","1"
1.40490582669349e-19,4.24962845105694,0.263,0.011,4.86743672716226e-15,"1","TK1","GSE147082","6","1"
2.05236269874985e-19,2.53202657819406,0.545,0.135,7.11061580608873e-15,"1","AC079594.2","GSE147082","6","1"
2.42442176235536e-19,6.69535232859421,0.222,0.003,8.39965163785639e-15,"1","CCNB1","GSE147082","6","1"
4.5466580896759e-19,3.32281160381545,0.323,0.03,1.57523516174911e-14,"1","CKS1B","GSE147082","6","1"
5.26446346057732e-19,2.63272515950981,0.434,0.073,1.82392601055162e-14,"1","CKS2","GSE147082","6","1"
5.52063792093908e-19,5.10741646539536,0.242,0.008,1.91268021408855e-14,"1","FAM111B","GSE147082","6","1"
5.88302570139322e-19,4.56205312692557,0.232,0.005,2.03823308450469e-14,"1","CKAP2L","GSE147082","6","1"
5.89194461932179e-19,2.71917651053809,0.374,0.046,2.04132313281023e-14,"1","DNAJC9","GSE147082","6","1"
6.89094201385232e-19,4.15785629301975,0.293,0.022,2.38743577011928e-14,"1","FANCI","GSE147082","6","1"
1.0077398766175e-18,9.0928109462001,0.202,0,3.49141557652901e-14,"1","FBXO43","GSE147082","6","1"
1.01822003751565e-18,3.85870563136419,0.263,0.013,3.52772514197673e-14,"1","SPC25","GSE147082","6","1"
3.35530828540519e-18,1.99765308428735,0.495,0.102,1.16248010856148e-13,"1","RANBP1","GSE147082","6","1"
5.36779615348233e-18,1.61724657374949,0.818,0.34,1.85972665533549e-13,"1","ANP32B","GSE147082","6","1"
5.48280728840953e-18,1.66946428192029,0.707,0.235,1.89957341314237e-13,"1","TPI1","GSE147082","6","1"
1.98170710595102e-17,2.23131150812717,0.455,0.086,6.86582243927789e-13,"1","SIVA1","GSE147082","6","1"
2.14217805898012e-17,2.74960474116408,0.374,0.057,7.42179010314252e-13,"1","TUBB4B","GSE147082","6","1"
2.22288593382953e-17,1.58713456232921,0.808,0.426,7.70141060634578e-13,"1","PPIA","GSE147082","6","1"
3.80268390620718e-17,4.21454736673035,0.253,0.016,1.31747786614454e-12,"1","MELK","GSE147082","6","1"
5.79658135014715e-17,3.5335043536472,0.263,0.019,2.00828357457198e-12,"1","ORC6","GSE147082","6","1"
1.64981325604501e-16,3.61765558166345,0.273,0.024,5.71594300689354e-12,"1","UBE2T","GSE147082","6","1"
