"seurat_cluster","n_cells"
"0",821
"1",747
"10",381
"11",375
"12",311
"13",238
"14",201
"15",162
"16",152
"17",96
"18",45
"19",32
"2",660
"20",27
"3",625
"4",556
"5",532
"6",448
"7",442
"8",406
"9",388
