"sample_id","seurat_cluster","n_cells"
"PT-2834","0",31
"PT-3232","0",18
"PT-3401","0",212
"PT-4806","0",327
"PT-5150","0",68
"PT-6885","0",165
"PT-2834","1",25
"PT-3232","1",2
"PT-3401","1",709
"PT-4806","1",2
"PT-5150","1",4
"PT-6885","1",5
"PT-2834","10",3
"PT-3232","10",14
"PT-3401","10",236
"PT-4806","10",7
"PT-5150","10",112
"PT-6885","10",9
"PT-2834","11",1
"PT-3232","11",0
"PT-3401","11",0
"PT-4806","11",373
"PT-5150","11",1
"PT-6885","11",0
"PT-2834","12",3
"PT-3232","12",7
"PT-3401","12",252
"PT-4806","12",4
"PT-5150","12",44
"PT-6885","12",1
"PT-2834","13",17
"PT-3232","13",2
"PT-3401","13",40
"PT-4806","13",21
"PT-5150","13",6
"PT-6885","13",152
"PT-2834","14",3
"PT-3232","14",20
"PT-3401","14",66
"PT-4806","14",2
"PT-5150","14",81
"PT-6885","14",29
"PT-2834","15",36
"PT-3232","15",4
"PT-3401","15",46
"PT-4806","15",55
"PT-5150","15",10
"PT-6885","15",11
"PT-2834","16",9
"PT-3232","16",1
"PT-3401","16",25
"PT-4806","16",46
"PT-5150","16",49
"PT-6885","16",22
"PT-2834","17",3
"PT-3232","17",26
"PT-3401","17",27
"PT-4806","17",0
"PT-5150","17",25
"PT-6885","17",15
"PT-2834","18",1
"PT-3232","18",1
"PT-3401","18",31
"PT-4806","18",0
"PT-5150","18",2
"PT-6885","18",10
"PT-2834","19",0
"PT-3232","19",0
"PT-3401","19",26
"PT-4806","19",1
"PT-5150","19",0
"PT-6885","19",5
"PT-2834","2",0
"PT-3232","2",659
"PT-3401","2",0
"PT-4806","2",0
"PT-5150","2",1
"PT-6885","2",0
"PT-2834","20",0
"PT-3232","20",0
"PT-3401","20",26
"PT-4806","20",0
"PT-5150","20",1
"PT-6885","20",0
"PT-2834","3",15
"PT-3232","3",105
"PT-3401","3",219
"PT-4806","3",10
"PT-5150","3",107
"PT-6885","3",169
"PT-2834","4",551
"PT-3232","4",0
"PT-3401","4",0
"PT-4806","4",2
"PT-5150","4",0
"PT-6885","4",3
"PT-2834","5",1
"PT-3232","5",18
"PT-3401","5",334
"PT-4806","5",4
"PT-5150","5",134
"PT-6885","5",41
"PT-2834","6",23
"PT-3232","6",0
"PT-3401","6",6
"PT-4806","6",19
"PT-5150","6",184
"PT-6885","6",216
"PT-2834","7",442
"PT-3232","7",0
"PT-3401","7",0
"PT-4806","7",0
"PT-5150","7",0
"PT-6885","7",0
"PT-2834","8",401
"PT-3232","8",0
"PT-3401","8",1
"PT-4806","8",2
"PT-5150","8",0
"PT-6885","8",2
"PT-2834","9",1
"PT-3232","9",2
"PT-3401","9",296
"PT-4806","9",5
"PT-5150","9",73
"PT-6885","9",11
