cluster,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
"Cycling_like__B_harmony_sample__2",4.29541382200535e-13,2.08437034349987,0.246,0.135,7.90012510143223e-09,"PLXNB1"
"Cycling_like__B_harmony_sample__2",2.14913472589253e-16,2.07927712257715,0.253,0.124,3.95268858786155e-12,"HOXB3"
"Cycling_like__B_harmony_sample__2",8.61550383915257e-20,2.06392494552862,0.303,0.152,1.58456346609694e-15,"ANKRD36"
"Cycling_like__B_harmony_sample__2",5.80560434469388e-17,2.05848851207131,0.279,0.143,1.0677667510761e-12,"CHD7"
"Cycling_like__B_harmony_sample__2",3.24024478066389e-10,2.05745204206503,0.24,0.147,5.95945820059702e-06,"HOOK2"
"Cycling_like__B_harmony_sample__2",3.96129981018649e-33,2.04117959745241,0.418,0.198,7.28562261089498e-29,"ANKRD36C"
"Cycling_like__B_harmony_sample__2",6.74309948959441e-13,2.01386592401285,0.206,0.102,1.2401908581262e-08,"RAD9A"
"Cycling_like__B_harmony_sample__2",3.89301214711684e-11,2.00054840335182,0.212,0.116,7.16002794097729e-07,"TARBP1"
"Cycling_like__B_harmony_sample__2",6.97173186608847e-17,1.9715843566971,0.281,0.147,1.28224092481099e-12,"WDR60"
"Cycling_like__B_harmony_sample__2",2.79170965558597e-13,1.97013367523603,0.222,0.113,5.13451239855371e-09,"CHTF18"
"Cycling_like__B_harmony_sample__3",2.53930284643135e-48,2.90590476691968,0.205,0.026,4.67028579515653e-44,"CFAP69"
"Cycling_like__B_harmony_sample__3",1.66632674133126e-69,2.85476805669221,0.283,0.033,3.06470814265645e-65,"DNHD1"
"Cycling_like__B_harmony_sample__3",8.05244473928763e-80,2.7278685346913,0.309,0.033,1.48100563644978e-75,"ZNF141"
"Cycling_like__B_harmony_sample__3",3.4007644058971e-54,2.71703478600896,0.236,0.031,6.25468589532594e-50,"SYNM"
"Cycling_like__B_harmony_sample__3",5.14039228733095e-98,2.67916327410967,0.408,0.05,9.45420949485909e-94,"CFAP44"
"Cycling_like__B_harmony_sample__3",3.84906633175184e-38,2.64137248976121,0.213,0.039,7.07920279735798e-34,"C5orf63"
"Cycling_like__B_harmony_sample__3",4.03470681964933e-54,2.61984053847341,0.249,0.035,7.42063278269905e-50,"USP49"
"Cycling_like__B_harmony_sample__3",1.52157987640835e-51,2.61546877450482,0.205,0.023,2.79848970869023e-47,"TIGD1"
"Cycling_like__B_harmony_sample__3",9.9665692932937e-46,2.48542043509659,0.221,0.033,1.83305142442258e-41,"KCNJ14"
"Cycling_like__B_harmony_sample__3",2.27373836295062e-68,2.47945036789822,0.286,0.035,4.18185959713878e-64,"SAP25"
"Cycling_like__B_harmony_sample__3",1.55119535832625e-76,2.4667858687273,0.338,0.045,2.85295850303365e-72,"YJEFN3"
"Cycling_like__B_harmony_sample__3",4.39707544852893e-80,2.4459374330011,0.421,0.074,8.08710116493442e-76,"ZNF26"
"Cycling_like__B_harmony_sample__3",3.28522549846539e-54,2.43071023574493,0.249,0.035,6.04218673677755e-50,"ZNF726"
