"sample_id","seurat_cluster","n_cells"
"FT-SA23505","0",0
"FT-SA23506","0",0
"FT-SA23508","0",4177
"FT-SA23509","0",5268
"FT-SA23510","0",406
"FT-SA23513","0",1
"FT-SA23514","0",0
"FT-SA23515","0",0
"FT-SA24027","0",0
"FT01","0",18
"FT03","0",15
"FT5414","0",14
"FT-SA23505","1",622
"FT-SA23506","1",383
"FT-SA23508","1",0
"FT-SA23509","1",0
"FT-SA23510","1",0
"FT-SA23513","1",1320
"FT-SA23514","1",330
"FT-SA23515","1",818
"FT-SA24027","1",719
"FT01","1",3
"FT03","1",7
"FT5414","1",3
"FT-SA23505","10",10
"FT-SA23506","10",7
"FT-SA23508","10",0
"FT-SA23509","10",1
"FT-SA23510","10",0
"FT-SA23513","10",35
"FT-SA23514","10",431
"FT-SA23515","10",1255
"FT-SA24027","10",32
"FT01","10",0
"FT03","10",0
"FT5414","10",0
"FT-SA23505","11",0
"FT-SA23506","11",1
"FT-SA23508","11",70
"FT-SA23509","11",336
"FT-SA23510","11",15
"FT-SA23513","11",0
"FT-SA23514","11",1
"FT-SA23515","11",0
"FT-SA24027","11",11
"FT01","11",5
"FT03","11",13
"FT5414","11",1041
"FT-SA23505","12",0
"FT-SA23506","12",0
"FT-SA23508","12",823
"FT-SA23509","12",259
"FT-SA23510","12",287
"FT-SA23513","12",0
"FT-SA23514","12",0
"FT-SA23515","12",0
"FT-SA24027","12",0
"FT01","12",4
"FT03","12",1
"FT5414","12",9
"FT-SA23505","13",36
"FT-SA23506","13",45
"FT-SA23508","13",94
"FT-SA23509","13",455
"FT-SA23510","13",213
"FT-SA23513","13",0
"FT-SA23514","13",9
"FT-SA23515","13",15
"FT-SA24027","13",192
"FT01","13",90
"FT03","13",10
"FT5414","13",2
"FT-SA23505","14",0
"FT-SA23506","14",0
"FT-SA23508","14",413
"FT-SA23509","14",418
"FT-SA23510","14",246
"FT-SA23513","14",0
"FT-SA23514","14",0
"FT-SA23515","14",0
"FT-SA24027","14",0
"FT01","14",10
"FT03","14",17
"FT5414","14",30
"FT-SA23505","15",40
"FT-SA23506","15",0
"FT-SA23508","15",9
"FT-SA23509","15",1
"FT-SA23510","15",80
"FT-SA23513","15",66
"FT-SA23514","15",29
"FT-SA23515","15",47
"FT-SA24027","15",74
"FT01","15",71
"FT03","15",445
"FT5414","15",125
"FT-SA23505","16",0
"FT-SA23506","16",0
"FT-SA23508","16",652
"FT-SA23509","16",198
"FT-SA23510","16",71
"FT-SA23513","16",0
"FT-SA23514","16",0
"FT-SA23515","16",0
"FT-SA24027","16",0
"FT01","16",9
"FT03","16",9
"FT5414","16",5
"FT-SA23505","17",19
"FT-SA23506","17",19
"FT-SA23508","17",5
"FT-SA23509","17",14
"FT-SA23510","17",34
"FT-SA23513","17",5
"FT-SA23514","17",90
"FT-SA23515","17",36
"FT-SA24027","17",102
"FT01","17",80
"FT03","17",378
"FT5414","17",21
"FT-SA23505","18",11
"FT-SA23506","18",3
"FT-SA23508","18",30
"FT-SA23509","18",28
"FT-SA23510","18",150
"FT-SA23513","18",16
"FT-SA23514","18",24
"FT-SA23515","18",39
"FT-SA24027","18",37
"FT01","18",58
"FT03","18",124
"FT5414","18",141
"FT-SA23505","19",39
"FT-SA23506","19",24
"FT-SA23508","19",76
"FT-SA23509","19",39
"FT-SA23510","19",162
"FT-SA23513","19",72
"FT-SA23514","19",64
"FT-SA23515","19",34
"FT-SA24027","19",0
"FT01","19",14
"FT03","19",42
"FT5414","19",65
"FT-SA23505","2",0
"FT-SA23506","2",0
"FT-SA23508","2",40
"FT-SA23509","2",101
"FT-SA23510","2",34
"FT-SA23513","2",1
"FT-SA23514","2",3
"FT-SA23515","2",4
"FT-SA24027","2",1
"FT01","2",722
"FT03","2",1504
"FT5414","2",1529
"FT-SA23505","20",35
"FT-SA23506","20",2
"FT-SA23508","20",4
"FT-SA23509","20",0
"FT-SA23510","20",110
"FT-SA23513","20",31
"FT-SA23514","20",43
"FT-SA23515","20",80
"FT-SA24027","20",86
"FT01","20",24
"FT03","20",89
"FT5414","20",46
"FT-SA23505","21",0
"FT-SA23506","21",1
"FT-SA23508","21",2
"FT-SA23509","21",9
"FT-SA23510","21",77
"FT-SA23513","21",0
"FT-SA23514","21",322
"FT-SA23515","21",98
"FT-SA24027","21",3
"FT01","21",2
"FT03","21",8
"FT5414","21",7
"FT-SA23505","22",25
"FT-SA23506","22",41
"FT-SA23508","22",0
"FT-SA23509","22",0
"FT-SA23510","22",0
"FT-SA23513","22",29
"FT-SA23514","22",83
"FT-SA23515","22",131
"FT-SA24027","22",118
"FT01","22",0
"FT03","22",0
"FT5414","22",0
"FT-SA23505","23",0
"FT-SA23506","23",0
"FT-SA23508","23",3
"FT-SA23509","23",1
"FT-SA23510","23",14
"FT-SA23513","23",33
"FT-SA23514","23",10
"FT-SA23515","23",5
"FT-SA24027","23",14
"FT01","23",9
"FT03","23",31
"FT5414","23",280
"FT-SA23505","24",0
"FT-SA23506","24",0
"FT-SA23508","24",82
"FT-SA23509","24",73
"FT-SA23510","24",15
"FT-SA23513","24",0
"FT-SA23514","24",0
"FT-SA23515","24",0
"FT-SA24027","24",0
"FT01","24",0
"FT03","24",0
"FT5414","24",2
"FT-SA23505","25",0
"FT-SA23506","25",0
"FT-SA23508","25",1
"FT-SA23509","25",2
"FT-SA23510","25",13
"FT-SA23513","25",0
"FT-SA23514","25",10
"FT-SA23515","25",41
"FT-SA24027","25",16
"FT01","25",14
"FT03","25",49
"FT5414","25",13
"FT-SA23505","3",1009
"FT-SA23506","3",1763
"FT-SA23508","3",0
"FT-SA23509","3",1
"FT-SA23510","3",0
"FT-SA23513","3",183
"FT-SA23514","3",92
"FT-SA23515","3",393
"FT-SA24027","3",111
"FT01","3",0
"FT03","3",0
"FT5414","3",0
"FT-SA23505","4",0
"FT-SA23506","4",0
"FT-SA23508","4",37
"FT-SA23509","4",11
"FT-SA23510","4",3010
"FT-SA23513","4",0
"FT-SA23514","4",0
"FT-SA23515","4",0
"FT-SA24027","4",0
"FT01","4",2
"FT03","4",1
"FT5414","4",2
"FT-SA23505","5",55
"FT-SA23506","5",2
"FT-SA23508","5",1
"FT-SA23509","5",0
"FT-SA23510","5",7
"FT-SA23513","5",40
"FT-SA23514","5",202
"FT-SA23515","5",295
"FT-SA24027","5",2118
"FT01","5",4
"FT03","5",6
"FT5414","5",12
"FT-SA23505","6",105
"FT-SA23506","6",177
"FT-SA23508","6",1
"FT-SA23509","6",2
"FT-SA23510","6",0
"FT-SA23513","6",15
"FT-SA23514","6",779
"FT-SA23515","6",940
"FT-SA24027","6",162
"FT01","6",0
"FT03","6",3
"FT5414","6",1
"FT-SA23505","7",3
"FT-SA23506","7",0
"FT-SA23508","7",16
"FT-SA23509","7",25
"FT-SA23510","7",94
"FT-SA23513","7",3
"FT-SA23514","7",8
"FT-SA23515","7",10
"FT-SA24027","7",2
"FT01","7",336
"FT03","7",1159
"FT5414","7",507
"FT-SA23505","8",1
"FT-SA23506","8",1
"FT-SA23508","8",60
"FT-SA23509","8",147
"FT-SA23510","8",144
"FT-SA23513","8",2
"FT-SA23514","8",277
"FT-SA23515","8",141
"FT-SA24027","8",90
"FT01","8",38
"FT03","8",412
"FT5414","8",634
"FT-SA23505","9",0
"FT-SA23506","9",0
"FT-SA23508","9",760
"FT-SA23509","9",737
"FT-SA23510","9",257
"FT-SA23513","9",0
"FT-SA23514","9",1
"FT-SA23515","9",1
"FT-SA24027","9",0
"FT01","9",18
"FT03","9",116
"FT5414","9",47
