"seurat_cluster","n_cells"
"0",9899
"1",4205
"10",1771
"11",1493
"12",1383
"13",1161
"14",1134
"15",987
"16",944
"17",803
"18",661
"19",631
"2",3939
"20",550
"21",529
"22",427
"23",400
"24",172
"25",159
"3",3552
"4",3063
"5",2742
"6",2185
"7",2163
"8",1947
"9",1937
