cell_type_original,final_cell_type,cell_subtype,n_cells,n_samples,n_patients,SPP1_program_mean,C1QC_program_mean,FOLR2_program_mean,lipid_associated_program_mean,GPNMB_hypoxia_program_mean,inflammatory_monocyte_program_mean
M09_Macro_C1QC,Macrophage,Macro_C1QC,1925,3,2,0.0764449344234574,0.5327217811858059,0.35244814724055806,0.13410195371468478,-0.057614263728593275,-0.42938160093354416
M08_Macro_SPP1,Macrophage,Macro_SPP1,1353,3,2,0.2580255043319941,-0.21339097679797664,-0.13118675875868596,0.1365566064858119,0.31713125579017304,0.3994756967237069
M06_Mono_CD14,Monocyte,Mono_CD14,258,3,2,-0.7357975762233563,-1.2831127221909189,-0.7238743443571577,-0.6133255442466145,-0.34687551384746357,1.257593058719275
M07_Mono_CD16,Monocyte,Mono_CD16,160,3,2,-0.8536898281268259,-1.330163896221444,-1.0494308857482757,-0.7427187418265925,-0.6531532328074405,0.5437585215267188
M04_cDC2_CD1C,cDC2,cDC2_CD1C,142,3,2,-0.8354643524012345,-0.8527068578226185,-0.6245220310912857,-0.8135407639603811,-0.5917303710762468,-0.5317935599992702
M03_cDC1_CLEC9A,cDC1,cDC1_CLEC9A,17,3,2,-1.1170910359167507,-1.4777588645725281,-1.1867785744576644,-0.9986868712129727,-0.964895233583905,-0.9775157449599426
M05_cDC3_LAMP3,cDC3_LAMP3,cDC3_LAMP3,15,2,2,-1.065245820001664,-1.3512582358865506,-1.0564730556440154,-1.1019605361984544,-0.6541012249160322,-0.9093522204301939
M02_pDC_LILRA4,pDC,pDC_LILRA4,11,2,2,-1.037002650148466,-1.4982155819575558,-1.192157562111464,-1.1798897280265899,-0.7985202511893434,-1.0243891746433176
M01_Mast_KIT,Mast,Mast_KIT,7,3,2,-0.689522408172455,-1.4209445722785718,-1.2114690107245616,-0.5465285748465883,-0.7355083977356143,-1.1929130074579462
