"seurat_cluster","n_cells"
"0",10418
"1",7468
"10",4287
"11",3359
"12",2789
"13",2642
"14",2619
"15",2531
"16",2347
"17",2107
"18",1889
"19",1771
"2",6615
"20",1726
"21",1664
"22",1652
"23",1535
"24",1249
"25",820
"26",619
"27",454
"28",298
"29",215
"3",6466
"30",162
"31",146
"32",121
"33",49
"4",6365
"5",5954
"6",4977
"7",4687
"8",4515
"9",4316
