dataset_id,lineage,strategy,cluster,n_cells,n_samples,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label
"GSE158722","Combined_broad_lineages","A_uncorrected","25",212,1,"P01_Time1",212,1,0,0,1,"strong_sample_dominance"
"GSE158722","Combined_broad_lineages","A_uncorrected","27",160,1,"P01_Time2",160,1,0,0,1,"strong_sample_dominance"
"GSE158722","Combined_broad_lineages","A_uncorrected","22",451,4,"P02_Time3",204,0.452328159645233,0.351359772341499,0.694293538379851,3.27111175439443,"mixed"
"GSE158722","Combined_broad_lineages","A_uncorrected","11",965,10,"P12_Pre-treatment",942,0.976165803108808,0.0430657215121719,0.0469918655534376,1.04930898683328,"strong_sample_dominance"
"GSE158722","Combined_broad_lineages","A_uncorrected","12",936,20,"P20_Post-treatment",303,0.323717948717949,0.407586962044897,0.720021550149755,3.57170346694498,"mixed"
"GSE158722","Combined_broad_lineages","A_uncorrected","6",1254,7,"P06_Time1",768,0.61244019138756,0.221479056845576,0.498976163040631,1.9959130209629,"moderate_sample_dominance"
"GSE158722","Combined_broad_lineages","A_uncorrected","10",1010,21,"P07_Time2",650,0.643564356435644,0.329935423835014,0.539509851975297,2.17159911952417,"moderate_sample_dominance"
"GSE158722","Combined_broad_lineages","A_uncorrected","7",1252,19,"P07_Time2",1083,0.865015974440895,0.154286676619085,0.241673386479396,1.31869300400444,"strong_sample_dominance"
"GSE158722","Combined_broad_lineages","A_uncorrected","30",118,1,"P03_Time2",118,1,0,0,1,"strong_sample_dominance"
"GSE158722","Combined_broad_lineages","A_uncorrected","29",143,2,"P03_Time3",141,0.986013986013986,0.0200907766457469,0.0275808107975939,1.02836308775459,"strong_sample_dominance"
"GSE158722","Combined_broad_lineages","A_uncorrected","4",1970,27,"P24_Post-treatment",706,0.358375634517767,0.513209157270857,0.781651678734314,4.57983827951305,"mixed"
"GSE158722","Combined_broad_lineages","A_uncorrected","0",3067,31,"P15_Pre-treatment",724,0.236061297685034,0.653681656890347,0.858413378254097,7.06281418165791,"mixed"
"GSE158722","Combined_broad_lineages","A_uncorrected","24",425,25,"P08_Time1",143,0.336470588235294,0.668294502553671,0.850657439446367,6.69601482854495,"mixed"
"GSE158722","Combined_broad_lineages","A_uncorrected","20",518,10,"P04_Time2",445,0.859073359073359,0.149521668403246,0.250458401037552,1.33414876690533,"strong_sample_dominance"
"GSE158722","Combined_broad_lineages","A_uncorrected","2",2345,29,"P08_Time1",1050,0.447761194029851,0.552757040625627,0.760055828078614,4.16763612965617,"mixed"
"GSE158722","Combined_broad_lineages","A_uncorrected","8",1197,23,"P04_Time3",787,0.657477025898079,0.319097402838013,0.522667012839813,2.09497358636229,"moderate_sample_dominance"
"GSE158722","Combined_broad_lineages","A_uncorrected","26",196,5,"P07_Time1",181,0.923469387755102,0.0962670845130464,0.144731361932528,1.16922327733139,"strong_sample_dominance"
"GSE158722","Combined_broad_lineages","A_uncorrected","3",2028,15,"P08_Time2",979,0.482741617357002,0.249604647516545,0.547059121023618,2.20779365788298,"mixed"
"GSE158722","Combined_broad_lineages","A_uncorrected","9",1155,17,"P09_Time2",550,0.476190476190476,0.33940121477713,0.654134667641161,2.89129874098653,"mixed"
"GSE158722","Combined_broad_lineages","A_uncorrected","5",1337,16,"P21_Post-treatment",1299,0.971578160059835,0.0542233351971323,0.0559486095361914,1.0592643685517,"strong_sample_dominance"
"GSE158722","Combined_broad_lineages","A_uncorrected","23",440,11,"P07_Time1",413,0.938636363636364,0.0960386048603976,0.118243801652893,1.1341003350751,"strong_sample_dominance"
"GSE158722","Combined_broad_lineages","A_uncorrected","14",838,10,"P23_Post-treatment",824,0.983293556085919,0.0327882122284137,0.0330967583916701,1.0342296488081,"strong_sample_dominance"
"GSE158722","Combined_broad_lineages","A_uncorrected","1",2858,6,"P05_Time2",969,0.339048285514346,0.315252231606715,0.673196326616361,3.05994112503774,"mixed"
"GSE158722","Combined_broad_lineages","A_uncorrected","21",453,22,"P14_Pre-treatment",145,0.320088300220751,0.559877207270459,0.817897850484141,5.49142337231395,"mixed"
"GSE158722","Combined_broad_lineages","A_uncorrected","19",681,11,"P19_Post-treatment",663,0.973568281938326,0.0482084941417695,0.0520483611170408,1.05490613548427,"strong_sample_dominance"
"GSE158722","Combined_broad_lineages","A_uncorrected","16",758,11,"P09_Time3",377,0.497361477572559,0.326031269910186,0.630860965880215,2.70900638396183,"mixed"
"GSE158722","Combined_broad_lineages","A_uncorrected","18",715,5,"P18_Post-treatment",710,0.993006993006993,0.0139180524849582,0.0139234192381046,1.01412001817075,"strong_sample_dominance"
"GSE158722","Combined_broad_lineages","A_uncorrected","17",728,4,"P11_Pre-treatment",723,0.993131868131868,0.0129874436057424,0.0136683371573482,1.01385774955045,"strong_sample_dominance"
"GSE158722","Combined_broad_lineages","A_uncorrected","13",847,5,"P13_Pre-treatment",839,0.990554899645809,0.0173534898360912,0.0187619614473752,1.01912070334641,"strong_sample_dominance"
"GSE158722","Combined_broad_lineages","A_uncorrected","15",797,2,"P14_Pre-treatment",795,0.997490589711418,0.00478547260183026,0.00500622629717151,1.00503141469774,"strong_sample_dominance"
"GSE158722","Combined_broad_lineages","A_uncorrected","28",146,1,"P24_Post-treatment",146,1,0,0,1,"strong_sample_dominance"
