"dataset_id","seurat_cluster","n_cells","top_markers","cell_type_manual","cell_subtype_manual","confidence","notes"
"GSE158722","3",6466,"FGFBP1;ACTA2;PCP4;KRT14;CALML5;KRT81;PQLC2L;ANKRD2;TAGLN;TNNC1;CYP4B1;PPP1R1A;KLK5;AARD;TPM2;MESP1;LRRC75A;MT1M;S100A1;GSTT2B","","","",""
"GSE158722","30",162,"SPRR3;NDUFC2-KCTD14;RPL36A-HNRNPH2;MUC21;POC1B-GALNT4;LUZP6;CEACAM5;OVCA2;CCL22;PIGY;EIF3CL;ST20-MTHFS;PSCA;SLX1B;FCRLB;FUT6;GREM2;BCL2L2-PABPN1;MRLN;HIST2H2AA3","","","",""
"GSE158722","31",146,"KCNA6;DCAF4L2;TOMM6;PPIAL4G;XAGE5;MTRNR2L10;RPL10L;GAGE12J;PABPC3;SSX1;NACA2;DBNDD2;MTRNR2L6;TMEM35B;IFI30;C11orf52;DIABLO;TAC1;PDCL2;GAGE1","","","",""
"GSE158722","32",121,"KCNA6;PABPC3;XAGE5;TOMM6;TM4SF18;MTRNR2L10;SSX1;PGAM4;IGF2;MTRNR2L6;PPIAL4G;NACA2;C11orf52;SEPT5;DBNDD2;TMEM35B;PLAC1;EEF1G;CPVL;PDCL2","","","",""
"GSE158722","33",49,"ECSCR;CCL21;MYCT1;MMRN1;BMX;CLDN5;ADGRL4;PROX1;STAB2;FABP4;SCN3A;EMCN;PCDH12;TSPAN11;FLT4;TIE1;TFPI;CALCRL;RHOJ;RAMP2","","","",""
"GSE158722","4",6365,"DMBT1;UBE2C;LRRC75A;PKP2;PDZK1IP1;GLOD4;PDLIM4;IGFBP7;TRNP1;IFITM1;PCLAF;IFI27;LAP3;SLC34A2;CKS2;USP1;YWHAE;LY6E;IFNGR1;HMGB2","","","",""
"GSE158722","5",5954,"HOXA9;HOXA5;TRHDE;HOXA3;HOXA4;AJAP1;NAT8L;NDUFA4L2;SLC25A38;LCN12;ADRA2C;GDF15;COL9A2;MTMR12;SLC12A7;COL23A1;TRAK1;RAI14;MYO10;SYT8","","","",""
"GSE158722","6",4977,"NAA16;EZH2;HELLS;CCNL1;TFAP2A;RIPK2;HSPA1A;NAALADL2;IGF2BP3;IRF1;FMR1;PTBP2;ITSN2;ARMC8;IGF2BP2;ERO1A;USP31;DNAJB11;POLR2B;ZCCHC8","","","",""
"GSE158722","7",4687,"PLA2G2A;SERPINB4;PRG4;FDCSP;CXCL6;ITLN1;OGN;HP;COL3A1;LUM;VTN;EGFL6;CTSE;PRR9;DCN;PROCR;SBSN;CD248;BCHE;IL13RA2","","","",""
"GSE158722","8",4515,"C1QA;C1QB;MS4A7;CD300E;STAB1;SIGLEC1;FPR3;C1QC;LILRB2;FCGR1A;MS4A4A;CD163;TFEC;FCN1;CD86;C3AR1;MS4A6A;LILRB4;LILRB1;FPR1","","","",""
"GSE158722","9",4316,"CCHCR1;KCNC3;GABRE;LONRF2;KIFC2;VPS53;LRRC41;RPGR;PGGHG;ARL5B;ARFGAP1;COL27A1;WDR90;LENG8;PRUNE2;C18orf25;USP53;ACAP3;LPIN3;RIMKLB","","","",""
