analysis,sample_type,n,mean,median,sd,q25,q75
myeloid_SPP1_TAM_score,ascites,4296,-0.0286003485704028,0.0356806092653244,0.592632941269063,-0.475178999635589,0.465565540608317
myeloid_SPP1_TAM_score,blood,1276,-0.636498066792765,-0.601420628653129,0.258730156998154,-0.775068915688577,-0.457365800689219
myeloid_SPP1_TAM_score,pleural_effusion,4769,0.0653799999559313,0.111621364624981,0.486991930100987,-0.259693634756837,0.434714377355877
myeloid_SPP1_TAM_score,tumor,5651,0.110288694195042,0.164532326742327,0.453383996767605,-0.126592557646978,0.425222385143912
CNV_tumor_ITGB1_CD44_score,ascites,562,0.434120268411447,0.33613677009178,0.952936823669153,-0.501719190460693,1.12378925181892
CNV_tumor_ITGB1_CD44_score,blood,52,0.68767089271009,0.714505369387227,1.25436499273178,-0.501719190460693,1.66319036241858
CNV_tumor_ITGB1_CD44_score,pleural_effusion,124,0.396489851541445,-0.501719190460693,1.07664720681238,-0.501719190460693,1.25592915985274
CNV_tumor_ITGB1_CD44_score,tumor,5769,-0.0570114783947472,-0.501719190460693,0.672113757146785,-0.501719190460693,0.314572739820158
