label_type,cnv_subclone,neighbor_label,clone_n_cells,neighbor_n,observed_prop,expected_prop_perm_mean,enrichment_ratio,z_score,empirical_p_greater,empirical_p_less,global_prop
interaction_group,Subclone_01,T cells,3318,3776,0.0379344986939923,0.0240840204060077,1.5750899581753215,5.672769634564672,0.0009990009990009,1.0,0.024023841381827
interaction_group,Subclone_03,T cells,1021,1041,0.0339862879529872,0.0239970609545707,1.4162687679681802,3.147839987846861,0.0019980019980019,0.999000999000999,0.024023841381827
interaction_group,Subclone_01,T_NK_CD4+ T naive,3318,3015,0.0302893309222423,0.0242707319557666,1.2479776455627507,2.3548305156177958,0.0089910089910089,0.992007992007992,0.0242873940720917
interaction_group,Subclone_04,T cells,1001,760,0.0253080253080253,0.024050023406744,1.0523077204543818,0.4242739525505485,0.3166833166833167,0.6843156843156843,0.024023841381827
interaction_group,Subclone_03,T_NK_CD4+ T naive,1021,572,0.0186745021221025,0.0243105571717023,0.7681642995759773,-1.8147166326229027,0.968031968031968,0.0329670329670329,0.0242873940720917
interaction_group,Subclone_05,B_PC_IGHG,96,6,0.0020833333333333,0.0056059043854475,0.3716319776593955,-1.5694918984130173,0.975024975024975,0.0259740259740259,0.0056967927664923
interaction_group,Subclone_04,T_NK_CD4+ T regulatory,1001,173,0.0057609057609057,0.0091750277206301,0.6278897390088849,-1.8081863261469648,0.98001998001998,0.0209790209790209,0.0092446174431334
interaction_group,Subclone_05,T cells,96,40,0.0138888888888888,0.0240777637809515,0.5768346685034232,-2.2399483043301607,0.996003996003996,0.0049950049950049,0.024023841381827
interaction_group,Subclone_04,T_NK_CD4+ T naive,1001,524,0.0174492174492174,0.0243454296141862,0.7167348338371341,-2.2821622089928613,0.996003996003996,0.0049950049950049,0.0242873940720917
interaction_group,Subclone_05,B_Early-PC_MS4A1low,96,0,0.0,0.0013177074724808,0.0,-1.1826322949230177,1.0,0.1018981018981019,0.0013583100190568
interaction_group,Subclone_05,NK cells,96,0,0.0,0.0015406261663883,0.0,-1.2427639836653066,1.0,0.0639360639360639,0.0015407695738555
interaction_group,Subclone_05,Myeloid_mDC_LAMP3,96,0,0.0,0.0019329879432916,0.0,-1.4600520103035763,1.0,0.0299700299700299,0.0019462352511859
interaction_group,Subclone_02,B_Early-PC_MS4A1low,1071,0,0.0,0.0013290722854435,0.0,-1.5618700834341257,1.0,0.0059940059940059,0.0013583100190568
interaction_group,Subclone_05,B_Bm_stress-response,96,0,0.0,0.0022055571898818,0.0,-1.635659491630986,1.0,0.0139860139860139,0.0022300612253172
interaction_group,Subclone_02,NK cells,1071,0,0.0,0.0015664522070437,0.0,-1.639832820367203,1.0,0.0009990009990009,0.0015407695738555
interaction_group,Subclone_02,Myeloid_mDC_LAMP3,1071,0,0.0,0.0019363566534593,0.0,-1.8554321092869448,1.0,0.0009990009990009,0.0019462352511859
interaction_group,Subclone_03,B_Early-PC_MS4A1low,1021,0,0.0,0.0013532480224967,0.0,-1.8795339062114471,1.0,0.0009990009990009,0.0013583100190568
interaction_group,Subclone_04,B_Early-PC_MS4A1low,1001,0,0.0,0.0013586422428488,0.0,-1.885409189025848,1.0,0.0009990009990009,0.0013583100190568
