dataset_id,lineage,strategy,cluster,n_cells,n_samples,dominant_sample,dominant_sample_n,dominant_sample_fraction,sample_entropy,simpson_diversity,effective_sample_number,dominance_label,patient_enriched
"GSE151214","All","normal_reference_uncorrected","2",3939,10,"FT5414",1529,0.388169586189388,0.500692917957966,0.669101745255667,3.02207698488058,"mixed",FALSE
"GSE151214","All","normal_reference_uncorrected","15",987,11,"FT03",445,0.450861195542047,0.731340542482117,0.753990324060815,4.06488076610127,"mixed",FALSE
"GSE151214","All","normal_reference_uncorrected","17",803,12,"FT03",378,0.470734744707348,0.712795958253926,0.733798690775098,3.75655552901561,"mixed",FALSE
"GSE151214","All","normal_reference_uncorrected","7",2163,11,"FT03",1159,0.535829865926953,0.506277362748352,0.631697427140649,2.71515887667145,"mixed",FALSE
"GSE151214","All","normal_reference_uncorrected","25",159,9,"FT03",49,0.308176100628931,0.735487097826135,0.80313278746885,5.07956600361664,"mixed",FALSE
"GSE151214","All","normal_reference_uncorrected","13",1161,11,"FT-SA23509",455,0.391903531438415,0.70708485461721,0.770071836554219,4.34918448011616,"mixed",FALSE
"GSE151214","All","normal_reference_uncorrected","20",550,11,"FT-SA23510",110,0.2,0.854857735375204,0.865904132231405,7.4573513460211,"mixed",FALSE
"GSE151214","All","normal_reference_uncorrected","14",1134,6,"FT-SA23509",418,0.368606701940035,0.51029184648707,0.683427737807515,3.15883644724366,"mixed",FALSE
"GSE151214","All","normal_reference_uncorrected","23",400,10,"FT5414",280,0.7,0.471817395378828,0.4933875,1.97389523551038,"moderate_sample_dominance",FALSE
"GSE151214","All","normal_reference_uncorrected","16",944,6,"FT-SA23508",652,0.690677966101695,0.359887027821226,0.473103993105429,1.89790772166564,"moderate_sample_dominance",FALSE
"GSE151214","All","normal_reference_uncorrected","8",1947,12,"FT5414",634,0.3256291730868,0.760683342612064,0.809063184138267,5.23733464123624,"mixed",FALSE
"GSE151214","All","normal_reference_uncorrected","18",661,12,"FT-SA23510",150,0.226928895612708,0.844829618842087,0.847439239587935,6.55476544098894,"mixed",FALSE
"GSE151214","All","normal_reference_uncorrected","5",2742,11,"FT-SA24027",2118,0.772428884026258,0.338697176390623,0.385703440178204,1.62787823570117,"moderate_sample_dominance",FALSE
"GSE151214","All","normal_reference_uncorrected","19",631,11,"FT-SA23510",162,0.256735340729002,0.888816945259321,0.868749073867104,7.61899385751737,"mixed",FALSE
"GSE151214","All","normal_reference_uncorrected","9",1937,8,"FT-SA23508",760,0.392359318533815,0.528333553662541,0.679419259594096,3.11933898066942,"mixed",FALSE
"GSE151214","All","normal_reference_uncorrected","4",3063,6,"FT-SA23510",3010,0.982696702579171,0.041415478562515,0.0341474161767109,1.0353546874012,"strong_sample_dominance",TRUE
"GSE151214","All","normal_reference_uncorrected","11",1493,9,"FT5414",1041,0.697253851306095,0.355399184666735,0.460748058925578,1.85442077038716,"moderate_sample_dominance",FALSE
"GSE151214","All","normal_reference_uncorrected","0",9899,7,"FT-SA23509",5268,0.532174967168401,0.347009100036955,0.537048250365361,2.16005231817181,"mixed",FALSE
"GSE151214","All","normal_reference_uncorrected","12",1383,6,"FT-SA23508",823,0.595083152566884,0.403971021210656,0.567688735596848,2.31314814658045,"mixed",FALSE
"GSE151214","All","normal_reference_uncorrected","21",529,10,"FT-SA23514",322,0.608695652173913,0.470170984577415,0.573225510200435,2.34315785948137,"moderate_sample_dominance",FALSE
"GSE151214","All","normal_reference_uncorrected","1",4205,9,"FT-SA23513",1320,0.313912009512485,0.686469110935906,0.798042079456397,4.95152652249704,"mixed",FALSE
"GSE151214","All","normal_reference_uncorrected","6",2185,10,"FT-SA23515",940,0.430205949656751,0.535078570752222,0.673396415124968,3.06181574945856,"mixed",FALSE
"GSE151214","All","normal_reference_uncorrected","24",172,4,"FT-SA23508",82,0.476744186046512,0.394960055043744,0.584843158464035,2.40872822015958,"mixed",FALSE
"GSE151214","All","normal_reference_uncorrected","3",3552,7,"FT-SA23506",1763,0.49634009009009,0.525894694741784,0.656409946686551,2.9104451376179,"mixed",FALSE
"GSE151214","All","normal_reference_uncorrected","22",427,6,"FT-SA23515",131,0.306791569086651,0.647950717339015,0.774468131783754,4.43396318182924,"mixed",FALSE
"GSE151214","All","normal_reference_uncorrected","10",1771,7,"FT-SA23515",1255,0.708639186900057,0.31927849061582,0.43783893910327,1.77884963858018,"moderate_sample_dominance",FALSE
