"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.99232901285678,0.992,0.007,0,"32","TOMM6"
0,6.86099883236463,0.372,0.001,0,"32","TM4SF18"
0,6.8261757861699,1,0.005,0,"32","MTRNR2L10"
0,6.55316910847763,0.248,0.001,0,"32","SSX1"
0,6.25975824530188,0.24,0.001,0,"32","PGAM4"
0,6.25641954627839,1,0.087,0,"32","IGF2"
0,6.23212948454347,0.554,0.003,0,"32","MTRNR2L6"
0,6.21143887646365,0.843,0.004,0,"32","PPIAL4G"
0,6.16467624213349,0.942,0.007,0,"32","NACA2"
0,6.15688229547846,0.372,0.003,0,"32","C11orf52"
0,6.06752737663764,0.248,0.001,0,"32","SEPT5"
0,6.02094082589071,0.702,0.005,0,"32","DBNDD2"
0,5.74620546098782,0.364,0.003,0,"32","TMEM35B"
0,5.57684010698728,0.38,0.003,0,"32","PLAC1"
0,5.55771146160338,1,0.053,0,"32","EEF1G"
0,5.47249655352136,1,0.118,0,"32","CPVL"
0,5.32330132074279,0.669,0.012,0,"32","PDCL2"
0,9.72642354072291,0.286,0,0,"18","DEFB123"
0,7.85408262672217,0.322,0,0,"18","TBX10"
0,5.56438440630845,0.501,0.01,0,"18","ITGA10"
0,5.02025543380098,0.251,0.011,0,"18","MTRNR2L8"
0,4.9283267425934,0.22,0.009,0,"18","ECE2"
0,4.80309583470309,0.451,0.021,0,"18","MAGEA4"
0,4.50302825267943,0.395,0.016,0,"18","LBHD1"
0,4.46770700131966,0.89,0.143,0,"18","ALDOA"
0,4.24218284949315,0.224,0.01,0,"18","SCO2"
0,4.03891431794346,0.24,0.01,0,"18","MYOM1"
0,3.99306775475325,0.313,0.084,0,"18","IGF2"
0,3.92705406825365,0.212,0.011,0,"18","PRR4"
0,3.74817504232764,0.33,0.013,0,"18","BEX1"
0,3.51513683704054,0.987,0.644,0,"18","RPL23A"
0,3.48802237989978,0.382,0.036,0,"18","ALDOC"
0,3.45108883660406,0.881,0.285,0,"18","RAB34"
0,3.33365566419689,0.459,0.046,0,"18","RAD50"
0,3.29882172048164,0.295,0.038,0,"18","RNASEH2A"
0,3.26960774289476,0.318,0.031,0,"18","BOLA2-SMG1P6"
0,3.25812934754072,0.692,0.165,0,"18","SDF2"
0,4.02771780014963,0.213,0.02,0,"4","DMBT1"
0,3.63545132344475,0.482,0.136,0,"4","UBE2C"
0,2.89456997589388,0.303,0.11,0,"4","LRRC75A"
0,2.88623071424146,0.236,0.095,0,"4","PKP2"
0,2.81820691669621,0.628,0.294,0,"4","PDZK1IP1"
0,2.81451012059943,0.36,0.177,0,"4","GLOD4"
0,2.76544826658897,0.331,0.163,0,"4","PDLIM4"
0,2.68943833357866,0.278,0.107,0,"4","IGFBP7"
0,2.49651057726945,0.233,0.117,0,"4","TRNP1"
0,2.3835327042314,0.379,0.205,0,"4","IFITM1"
0,2.34583952122506,0.225,0.114,0,"4","PCLAF"
0,2.3327015738687,0.966,0.649,0,"4","IFI27"
0,2.30301128681212,0.377,0.225,0,"4","LAP3"
0,2.24857649438682,0.539,0.323,0,"4","SLC34A2"
0,2.21008413321446,0.303,0.179,0,"4","CKS2"
0,2.21002998242379,0.367,0.246,0,"4","USP1"
0,2.18686258043569,0.763,0.534,0,"4","YWHAE"
0,2.16360489282042,0.941,0.654,0,"4","LY6E"
0,2.13784961703388,0.209,0.147,0,"4","IFNGR1"
0,2.13548874699345,0.404,0.212,0,"4","HMGB2"
0,7.17836451862232,0.416,0.012,0,"8","C1QA"
0,7.14903290289577,0.399,0.011,0,"8","C1QB"
0,7.14421312655708,0.32,0.003,0,"8","MS4A7"
0,7.11893947189145,0.362,0.004,0,"8","CD300E"
0,6.99104692032986,0.478,0.008,0,"8","STAB1"
0,6.96042761250182,0.438,0.005,0,"8","SIGLEC1"
0,6.91332174313968,0.297,0.003,0,"8","FPR3"
0,6.90827497595373,0.278,0.005,0,"8","C1QC"
0,6.8005873075716,0.386,0.004,0,"8","LILRB2"
0,6.76367612166333,0.308,0.004,0,"8","FCGR1A"
0,6.75434540638082,0.358,0.004,0,"8","MS4A4A"
0,6.71614536111515,0.68,0.013,0,"8","CD163"
0,6.70181989158271,0.2,0.002,0,"8","TFEC"
0,6.70114070504237,0.441,0.009,0,"8","FCN1"
0,6.69684081496143,0.257,0.003,0,"8","CD86"
0,6.6834019206755,0.397,0.005,0,"8","C3AR1"
0,6.67606160662044,0.425,0.006,0,"8","MS4A6A"
0,6.6671145108483,0.31,0.003,0,"8","LILRB4"
0,6.64586169955722,0.253,0.003,0,"8","LILRB1"
0,6.63647057079545,0.266,0.005,0,"8","FPR1"
0,9.17271669110103,0.45,0.001,0,"15","CD3D"
0,8.71397541827851,0.203,0.002,0,"15","FGFBP2"
0,8.49877029073241,0.337,0.002,0,"15","CD3G"
0,8.04035557389563,0.228,0.002,0,"15","CD8A"
0,7.71846127575389,0.264,0.002,0,"15","CXCR3"
