"source_group","target_group","n_lr_pairs","total_score","mean_score","max_score","top_ligand","top_receptor"
"B_Early-PC_MS4A1low","T_NK_CD8+ T CXCL13",92,101.665271276338,1.10505729648194,8.50585245163174,"B2M","CD3D"
"Myeloid_Macro-TIMD4","Myeloid_Macro-MCEMP1",236,101.355998521094,0.429474570004635,7.49051585659167,"MIF","CD74"
"Myeloid_Macro-Inflammatory_M1","Myeloid_Interferon-Responsive Myeloid",295,101.168623277138,0.342944485685215,10.6233386683466,"MIF","CD74"
"Myeloid_Interferon-Responsive Myeloid","Myeloid_Proliferating Myeloid",345,101.079452488994,0.292983920257953,10.3846859212664,"MIF","CD74"
"Myeloid_Macro-C3/CX3CR1","T_NK_¦Ã¦ÄT",137,100.707312314518,0.735089870908894,7.32119381315693,"B2M","CD3D"
"T_NK_CD56bright regulatory","Monocytes",182,100.688696148887,0.553234594224651,7.05625237024288,"MIF","CD74"
"Myeloid_Macro-Inflammatory_TNF","Myeloid_Macro-MCEMP1",245,99.9428386793094,0.407929953793099,8.83030753834933,"MIF","CD74"
"Smooth_muscle_cells","Myeloid_Monocyte-like",318,99.4760792391888,0.312817859242732,8.90064400633066,"MIF","CD74"
"Smooth_muscle_cells","T_NK_CD8+ T CXCL13",197,98.9779718760522,0.50242625317793,6.86847087858611,"B2M","CD3D"
"T_NK_¦Ã¦ÄT","Myeloid_Macro-THBS1",151,98.6236838173432,0.653136978922803,7.65726732838937,"B2M","LILRB2"
"Myeloid_mDC_LAMP3","Monocytes",272,98.6196916535599,0.362572395785147,6.27233701262635,"B2M","LILRB2"
"Myeloid_Macro-THBS1","Myeloid_cDC2-like",284,98.5743848794672,0.347092904505166,12.5475317389514,"MIF","CD74"
"Myeloid_Macro-Inflammatory_TNF","Myeloid_cDC2-like",269,98.5339602963042,0.366297250172135,13.5603350121769,"MIF","CD74"
"Myeloid_Macro-Inflammatory_TNF","Myeloid_Macro-TIMD4",255,98.4570067997031,0.386105909018443,8.03534588483576,"MIF","CD74"
"DC","Myeloid_Macro-LYVE1",312,98.4453038698734,0.315529820095748,6.47860903839973,"VIM","CD44"
"Myeloid_Interferon-Responsive Myeloid","T_NK_CD8+ T cytotoxic",155,98.4114787541237,0.634912766155637,8.1028332206946,"MIF","CD74"
"B cells","Myeloid_Interferon-Responsive Myeloid",471,98.1669653885534,0.208422431822831,10.9860697565659,"MIF","CD74"
"T_NK_¦Ã¦ÄT","T_NK_¦Ã¦ÄT",94,97.7442033409057,1.03983195043517,8.30457895828917,"B2M","CD3D"
"Myeloid_Macro-MCEMP1","Myeloid_Macro-MCEMP1",224,97.5934866255525,0.435685208149788,8.97736017151421,"TIMP1","CD63"
"Myeloid_Proliferating Myeloid","Myeloid_Macro-TIMD4",293,97.5447628664134,0.332917279407554,8.97148244702904,"MIF","CD74"
"Myeloid_cDC2-like","Myeloid_Macro-TIMD4",248,97.4713029451581,0.393029447359509,6.1951544905456,"MIF","CD74"
"Smooth_muscle_cells","Myeloid_Macro-TIMD4",396,97.290857316118,0.24568398312151,8.90896532637513,"MIF","CD74"
"T_NK_CD56dim cytotoxic NK","T_NK_CD8+ T cytotoxic",80,97.0103588162007,1.21262948520251,6.66029702961135,"B2M","CD3D"
