"source_group","target_group","ligand","receptor","score","ligand_avg","receptor_avg","ligand_pct","receptor_pct"
"T_NK_CD56dim cytotoxic NK","CNV_Subclone_03","KLRD1","HLA-A",0.277044332236243,1.47633415339349,0.660285165812649,0.695861405197305,0.408423114593536
"Myeloid_Monocyte-like","CNV_Subclone_04","UBC","ERBB2",0.276886156661864,2.50386311384406,0.290735835250046,0.949471210340776,0.400599400599401
"DC","CNV_Subclone_04","TGFB1","CXCR4",0.276546242644217,1.16685204553422,0.591415698755229,0.758293838862559,0.528471528471528
"DC","CNV_Subclone_01","APP","CD74",0.276236776856861,0.982758705797558,1.13880587017172,0.568720379146919,0.433996383363472
"T_NK_CD8+ T cytotoxic","CNV_Subclone_04","CALM1","PTPRA",0.276128236158692,2.5007852628049,0.285755595003603,0.943387018057589,0.40959040959041
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_01","SPP1","ITGB1",0.275551025786977,3.05859872907281,0.422434078784257,0.818998716302953,0.260397830018083
"T_NK_CD4+ T effector","CNV_Subclone_02","TGFB1","ITGB8",0.274799724289701,1.53918446847512,0.468662515297441,0.783099864437415,0.486461251167134
"Myeloid_Macro-MCEMP1","CNV_Subclone_02","UBC","ERBB2",0.274655419888905,3.02373055446464,0.273685599521673,0.990120746432492,0.335200746965453
"Myeloid_Macro-Inflammatory_M1","CNV_Subclone_04","C3","IFITM2",0.274099373528652,0.607353966271548,1.50035615774012,0.355066771406127,0.847152847152847
"T_NK_CD8+ T effector","CNV_Subclone_04","UBC","ERBB2",0.273674501356365,2.78521064536261,0.290735835250046,0.843659942363112,0.400599400599401
"T_NK_CD4+ T naive","CNV_Subclone_02","UBA52","ERBB2",0.273549489036459,3.00943579620416,0.273685599521673,0.990818030050084,0.335200746965453
"T_NK_Th17","CNV_Subclone_02","TGFB1","ITGB8",0.273468764575232,1.44356368972763,0.468662515297441,0.830927835051546,0.486461251167134
"T cells","CNV_Subclone_04","UBC","ERBB2",0.273291373354453,2.51408690740068,0.290735835250046,0.933333333333333,0.400599400599401
"Myeloid_Macro-Inflammatory_TNF","CNV_Subclone_05","C3","CD46",0.273224551549782,1.43416416017616,0.652634415442986,0.700587084148728,0.416666666666667
"T_NK_Th17","CNV_Subclone_02","UBA52","ERBB2",0.273169041253553,2.98380839027734,0.273685599521673,0.997938144329897,0.335200746965453
"T_NK_CD56bright regulatory","CNV_Subclone_02","CALM1","PTPRA",0.273084222368657,2.31120392906263,0.324310707288082,0.897009966777409,0.406162464985994
"Smooth_muscle_cells","CNV_Subclone_04","HLA-C","DDR1",0.272600643197065,1.64034104780737,0.40819621126551,0.774768735755463,0.525474525474525
"Myeloid_Macro-Inflammatory_M1","CNV_Subclone_02","HLA-A","ERBB2",0.272567893493211,3.10017597412985,0.273685599521673,0.958366064414768,0.335200746965453
"T_NK_CD4+ T effector","CNV_Subclone_02","UBC","ERBB2",0.272547336180152,2.99387797479612,0.273685599521673,0.992318120198825,0.335200746965453
"Myeloid_cDC2-like","CNV_Subclone_04","THBS1","ITGB1",0.272466519558536,1.61850527385691,0.43703079079987,0.727520435967302,0.529470529470529
"Myeloid_Macro-M2-like","CNV_Subclone_05","TIMP1","CD63",0.272381734620271,0.670785161940453,1.75257861975601,0.313278008298755,0.739583333333333
"Smooth_muscle_cells","CNV_Subclone_02","RPS27A","ERBB2",0.272074318546421,3.20784946468942,0.273685599521673,0.924520713232337,0.335200746965453
"B_Early-PC_MS4A1low","CNV_Subclone_02","HLA-A","ERBB2",0.271901213676137,2.96383635992621,0.273685599521673,1,0.335200746965453
"Myeloid_Macro-Inflammatory_TNF","CNV_Subclone_03","HLA-B","CANX",0.27177640466695,2.74015624676093,0.349394670093472,0.947162426614481,0.299706170421156
"B_Bm_stress-response","CNV_Subclone_04","HSP90AA1","ERBB2",0.271379952743134,2.75599635612223,0.290735835250046,0.845454545454545,0.400599400599401
"Myeloid_Proliferating Myeloid","CNV_Subclone_04","PKM","CD44",0.271324358027843,2.00522290471304,0.357606161001,0.954035874439462,0.396603396603397
"T_NK_CD56bright regulatory","CNV_Subclone_03","KLRD1","HLA-B",0.271065242535445,1.53470309577031,0.631808326549642,0.722591362126246,0.386875612144956
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_02","HLA-A","ERBB2",0.270799901400116,2.99021692426135,0.273685599521673,0.987163029525032,0.335200746965453
"T_NK_¦Ã¦ÄT","CNV_Subclone_04","KLRD1","HLA-B",0.270702079650133,0.701681789607075,1.32960069814269,0.367652173913044,0.789210789210789
"T_NK_CD8+ T cytotoxic","CNV_Subclone_04","VIM","CD44",0.270406711130285,2.21965427120148,0.357606161001,0.858955588091752,0.396603396603397
"Myeloid_Macro-LYVE1","CNV_Subclone_04","FN1","ITGB8",0.270175643012661,1.89215072944863,0.406115420093365,0.731694828469022,0.480519480519481
"T_NK_CD8+ T CXCL13","CNV_Subclone_04","CALM1","PTPRA",0.270074858957558,2.48055065693541,0.285755595003603,0.930232558139535,0.40959040959041
"Myeloid_Macro-TIMD4","CNV_Subclone_02","HBEGF","CD9",0.269917516547417,0.402574223338622,2.0520436461608,0.344086021505376,0.949579831932773
"T_NK_CD56dim cytotoxic NK","CNV_Subclone_02","UBC","ERBB2",0.269569293626231,3.01086365100251,0.273685599521673,0.975938402309913,0.335200746965453
"Myeloid_Macro-Inflammatory_M1","CNV_Subclone_02","HSP90AA1","ERBB2",0.269519831826686,3.05050496307632,0.273685599521673,0.963079340141398,0.335200746965453
"T_NK_CD4+ T naive","CNV_Subclone_04","VIM","CD44",0.269195670922111,2.16351919079305,0.357606161001,0.877295492487479,0.396603396603397
"Myeloid_Macro-LYVE1","CNV_Subclone_04","SPP1","ITGB1",0.269073946324452,1.83146396545506,0.43703079079987,0.634920634920635,0.529470529470529
"B_Classical-Bm_TXNIP","CNV_Subclone_02","UBC","ERBB2",0.268717655448412,2.9953828443644,0.273685599521673,0.977883096366509,0.335200746965453
"Myeloid_cDC1","CNV_Subclone_05","HLA-A","APLP2",0.268576841386566,3.5299169330737,0.332011119163791,1,0.229166666666667
